Title,Country of Creation,Description,Type of Artwork
Flowers,"America, 20th century",,Type of artwork: Painting
Border Fragment with Birds and Flowers,,,Type of artwork: Embroidery
Pendant with Shri,,"DescriptionA conflation of local and Hellenistic divinities, this goddess exemplifies abundance and prosperity. Like Tyche, she holds a cornucopia, overflowing with fruits and bounty, but it is in the form of a lotus flower, associated with the local Indian goddess of good fortune, Shri. To further emphasize this association, she holds a lotus flower in her right hand as well.",Type of artwork: Jewelry
Twelve Months of Flowers:  September,"England, 18th century",,Type of artwork: Print
Chinese Flower,"America, 19th century",,Type of artwork: Drawing
Standing Buddha,,"DescriptionThis small sculpture was probably part of a set of eight main scenes from the life of the Buddha, each identified by a specific hand gesture. When the standing Buddha gestures down with his right hand, with the palm facing out, he usually signals his miraculous descent from the Heaven of the Thirty-three Gods, where he once spent a monsoon season giving teachings to his mother. She died shortly after his birth and was reborn in the heaven.",Type of artwork: Sculpture
Flowers,"America, 20th century",,Type of artwork: Print
Mural Fragment with Elite Male and Maguey Cactus Leaves,,"DescriptionThis richly dressed elite male belonged to a row of identical figures who processed along the walls of a patio in one of Teotihuacán’s wealthy apartment compounds. He offers a chant or prayer, materialized in a mouth scroll, along with a flower-filled libation that cascades from one hand. In the other hand, he carries an incense bag. The thorny spines of the maguey cactus, in front and behind, may allude to the offering of precious blood and a ritual beverage made from the cactus’s sap (pulque, a less refined form of tequila). The spines are thrust into objects that may represent bundles or plots of land.",Type of artwork: Painting
Twelve Months of Flowers:  December,"England, 18th century",,Type of artwork: Print
Exotic Flower (Fleur exotique),"France, 19th century",,Type of artwork: Print
Twelve Months of Flowers:  May,"England, 18th century",,Type of artwork: Print
"Bonad (Hanging Tapestry): copy of “Carl Hanson, Leksand, 1801”","Sweden, Vastanvik, Leksand, 20th century","DescriptionThe top line of text on this wall hanging reads “Carl Hanson, Leksand, year 1801,” indicating that this design is an adaption of a wall painting from 1801 by the Swedish muralist Winter Carl Hansson (1777–1805), whose work is reflected throughout Leksand homes and churches in the in the Dalarna region of Sweden. Wall hangings were used to decorate modern urban homes, reminding Swedes of their rural roots.",Type of artwork: Textile
Clock,"Russia, St. Petersburg","DescriptionThe use of Russian hardstones in creating precious objects became a hallmark of design from the House of Fabergé. Easily carved, these minerals were sourced largely from the western region surrounding the Ural Mountains. Fabergé's workmasters used colorful stones such as agate, lapis lazuli, rock crystal, rhodonite, and nephrite (jade), seen here in this small desk clock, to create and embellish flower studies, animal figures, and all manner of luxurious accessories.",Type of artwork: Timepiece
Two curved strips with fisherman and flowers,"Germany, late 16th-early 17th century",,Type of artwork: Print
Flower of the Air,"France, 20th century",,Type of artwork: Print
Twelve Months of Flowers:  April,"England, 18th century",,Type of artwork: Print
Chrysanthemum,Netherlands,"DescriptionFascinated by the complex structure of chrysanthemums, Mondrian painted these delicate flowers throughout his career. This single, frontal blossom recalls the stylized chrysanthemums of Japanese prints. Mondrian added the initials and date near the bottom edge sometime after painting the flower. Since he returned to this subject repeatedly, even during his later years, this painting may have been produced as late as 1942, the year Mondrian exhibited it in New York.",Type of artwork: Painting
"Lobed Mirror with Paired Phoenixes, a Nestling Bird, and a Lotus Blossom",,,Type of artwork: Metalwork
Primavera [II],,"DescriptionThough designed in Austria, this textile was block-printed by the English company G. P. and J. Baker based in London. In block printing every color requires a separate block, indicating that production of this design required 35 or more blocks. The design is now screenprinted, produced, and marketed by the Stockholm-based firm Svenskt Tenn. The name is derived from the Italian Renaissance painting Primavera by Sandro Botticelli dating to the late 1400s, which Josef Frank saw while visiting Florence. Botticelli’s painting features a forest floor strewn with identifiable wildflowers, an approach that Frank incorporated whimsically by arranging recognizable tulips, daisies, and violets, among other species.",Type of artwork: Textile
"Goddess Mangala, from a Devi Series",,"DescriptionThe four-armed goddess sits on an open lotus against a dark green background. She holds a discus, sword, bowl of cakes, and a shield. Banana trees flank her, and her tiger mount stands beneath. The subject in the painting appears to be a regional form of the Devi, as the name “Mangala” does not appear in major Hindu scriptures.",Type of artwork: Painting
Star Flower,"America, 19th century",,Type of artwork: Drawing
Twelve Months of Flowers:  July,"England, 18th century",,Type of artwork: Print
The Beach at Sumiyoshi from the Tales of Ise,"Japan, Edo period","DescriptionThe poem written on the painting comes from The Tales of Ise, a 10th-century poetic narrative of love: In autumn the wild geese cry And chrysanthemums are in flower, Yet how pleasant to dwell By the sea in springOn the Beach of Sumiyoshi.",Type of artwork: Painting
"Krishna Quells the Serpent Kaliya, from a Bhagavata Purana",,"DescriptionIn the forest where Krishna lived as a youth among the cowherds, there was a great pool of water connected to the Yamuna River. The water had become toxic from the poison excreted by all the snakes living there, including the serpent Kaliya. Kaliya’s royal residence is depicted at the lower right. In order to make the pool usable for drinking and bathing, Krishna tamed the serpent king by dancing on his heads. Krishna then persuaded him to move away to the ocean.",Type of artwork: Painting
Lozenge Shaped Dish from Dessert Service: Large Flowered St. John's Wort,"England, Derby, 18th century","DescriptionEach dish is decorated with recognizable plants, the names of which are inscribed on the base in both Latin and English. Identifying the blossoms only became customary in the late 18th century when a single piece of porcelain was decorated with one species, and flowers were represented along with leaves, stems, seed pods, and roots. All of this reflects Carolus Linnaeus’s recent invention of a scientific method to categorize all known flora. The decorations on the Derby factory’s products derive from contemporary English botanical publications. For instance, illustrations in William Curtis’s The Botanical Magazine served as models for the French marigold and nettle-leaved bell flower on the dessert service.",Type of artwork: Ceramic
"Album of Miscellaneous Subjects, Leaf 6","China, Qing dynasty","DescriptionLeaf 6 Zhou Yi's colophon reads: The bright moon emerges through the willow, The fragrance of flowers is already difficult to retain. Listening above these tall branches, I sense that faraway in my native place autumn has arrived. Obstructed, all the diminished waters flow, Abruptly the sound of a lute wafts to and fro. A strong wind, unabated, blows among the willow branches.",Type of artwork: Painting
Dark Flower,"Germany, 20th century",,Type of artwork: Drawing
Flower Vase (Bouquetier),"France, 18th century",,Type of artwork: Ceramic
Shri,,"DescriptionOne of Vishnu's two wives, Shri, the goddess of abundance and good fortune, holds the lotus flower in her left hand.",Type of artwork: Sculpture
Spouted Bowl with Flower Design,,,Type of artwork: Ceramic
Twelve Months of Flowers:  March,"England, 18th century",,Type of artwork: Print
Flowers on Black Striped Background,"America, 20th century",,Type of artwork: Drawing
Pair of Bowls with Sprays of Flowers,,,Type of artwork: Ceramic
Flower Pot Stand or Bulb Bowl,,,Type of artwork: Ceramic
Worshippers Giving Offerings to the Bodhi Tree,,"DescriptionThe square railing surrounding the base of the trunk is the marker of a sacred tree. This tree has the distinctive heart-shaped leaves of the Bodhi tree (ficus religiosa), which is the type of tree under which the Buddha reached enlightenment. Each of the the worshippers holds a narrow-necked pot with lotus flowers emerging from the mouth. The lotus flowers are a symbol for water, so these figures are pouring offerings of pure water to the sacred tree.",Type of artwork: Sculpture
A Flower Piece,"England, 18th century",,Type of artwork: Print
Krishna Receives a Flower Garland,"India, Rajasthan, Kishangarh School, 18th century",,Type of artwork: Painting
Plate with Flowers,"America, 20th century",,Type of artwork: Ceramic
Flower Fantasy,"America, Ohio, Cleveland",,Type of artwork: Print
Flower Study,"America, Ohio, Cleveland",,Type of artwork: Print
"The snake, hidden in a basket of flowers, reveals himself to the Raja who has just sent away his wife, from a Tuti-nama (Tales of a Parrot): Forty-third Night",,"DescriptionA black cobra appears beside the raja’s bed, intending to poison him in revenge for his earlier cruelty. The raja, who had mutilated the snake’s wife, reveals that he did so only after watching her seduce another snake. Upon realizing his wife’s treachery, the grateful cobra grants the raja the ability to talk to animals.",Type of artwork: Painting
Mandala Base,,"DescriptionA ritual object of Tibetan Buddhism, this cloisonné disc is used as the base for a three-dimensional mandala composed of miniature buildings. The decoration includes the lotus flowers and the Eight Buddhist Treasures: the wheel, the conch, the umbrella, the canopy, the lotus, the paired fish, the vase, and the endless knot.",Type of artwork: Enamel
Fire Screen,"America, 19th century","DescriptionDuring the 1870s the New York firm of Herter Brothers produced some of the most sophisticated and technically refined furniture made anywhere in the world at that date. Although the firm is known to have made a considerable quantity of gilded furniture, this fire screen is one of only a few examples to survive in good condition. The painted and gilded embossed panel of birds and flowers was likely made in Japan.",Type of artwork: Furniture and woodwork
Amaryllis,"America, 20th century","DescriptionStill-life was one of Charles Demuth's favorite genres, and he created works on this theme throughout his career. This drawing of a blooming amaryllis was completed while the artist was convalescing with diabetes in his hometown of Lancaster, Pennsylvania. Because of his physical weakness, he was limited to working in watercolor, a less demanding medium than painting, and to subjects that he could easily observe, such as flowers. Demuth drew the amaryllis's form in graphite and then brushed on watercolor precisely, using a blotter to develop the pebbly texture seen throughout.",Type of artwork: Drawing
Avatamsaka Sutra No. 78,,"DescriptionThis illuminated manuscript presents one part of the multivolume sacred text titled Avatamsaka (Flower Garland) sutra. Both the script and the image are rendered in gold ink on the smooth surface of the dark blue, indigo-dyed mulberry paper. This portion of the text, which reads from right to left, describes the encounter of the Buddha of the Future (Maitreya) and the young pilgrim Sudhana. The Buddha gives his words of wisdom to Sudhana, who asks questions about the path toward spiritual awakening. Mixed with ink and glue, the gold has a brilliance that strikingly reflects Sudhana’s ardent quest for understanding the way to reach enlightenment.",Type of artwork: Bound Volume
"Women Worshipping a Shiva Linga: Devagandhari Ragini of Hindol, from a Chamba Ragamala",,"DescriptionRemoved from any temple setting, the focus of the scene is on the intensity of the women’s devotions to the Hindu god Shiva in his abstract form of a linga. The figure on the right tosses flower petals on the linga and offers incense in a handheld censer. Her taller companion wearing a yellow blouse holds two lotus flowers in her hands cupped in devotion as she bows reverently.",Type of artwork: Painting
Flower,"Japan, 20th century",,Type of artwork: Print
Incense Burner with Flowers and Dots,"Japan, Meiji period",,Type of artwork: Ceramic
Hand Mirror,France,"DescriptionWe often think of art as the work of just one person. In the case of this mirror, its harmonious appearance conceals the number of people involved in its creation. The designer Félix Bracquemond was commissioned by wealthy banker Baron Joseph Vitta to create decorative objects for his multiple homes. Bracquemond worked with other artists in making this mirror: well-known sculptor Auguste Rodin created the figure of Venus; artisan Alexandre Riquet fashioned the elaborate enameled decoration; and goldsmiths from Parisian jewelers Falize Frères completed the mirror and its blue translucent frame embedded with yellow, pink, and white flowers. Through close collaboration between patron, designer, and artists, this mirror represents the trend at the end of the 1800s for blending artistic specialties to create a single work of art. The CMA’s collection includes Bracquemond’s preparatory drawings for the mirror and Rodin’s carved plaster model for the figure of Venus.",Type of artwork: Miscellaneous
A Collection of Flowers Drawn after Nature - Cabbage Province Rose,"England, late 18th-early 19th Century",,Type of artwork: Print
Clock,"Russia, St. Petersburg","DescriptionThe use of Russian hardstones in creating precious objects became a hallmark of design from the House of Fabergé. Easily carved, these minerals were sourced largely from the western region surrounding the Ural Mountains. Fabergé's workmasters used colorful stones such as agate, nephrite (jade), lapis lazuli, rock crystal, and rhodonite, seen here in this small desk clock, to create and embellish flower studies, animal figures, and all manner of luxurious accessories. Bright pink rhodonite was among the rarest, and consequently most expensive, specimens used by the House of Fabergé.",Type of artwork: Timepiece
Desk Album: Flower and Bird Paintings,"China, Qing dynasty",,Type of artwork: Painting
"Sunflower, New Mexico, I","America, 20th century","DescriptionUnlike most of O’Keeffe’s close-up images of flowers, this example appears in a landscape environment, with bloom, stem, and leaves framed against the bright blue Southwestern sky.",Type of artwork: Painting
Maharana Sangram Singh II (r. 1710–34) Worshipping a Linga Under a Banyan Tree,,"DescriptionThe king kneels in worship at an ancient tree shrine on the banks of a lake. Such shrines were often associated with serpent deities, and a four-headed snake painted in gold is wrapped around the linga, the phallic emblem marking the sacred presence of the god Shiva. Flowers, packets of paan (areca nut and sweetmeats wrapped in betel leaf), coconuts, and a flower garland are among the offerings.",Type of artwork: Painting
Border Fragment with Birds and Flowers,,,Type of artwork: Embroidery
Portrait of the Marquise d'Aguirandes,"France, 18th century","DescriptionLike many French portraitists active during the ancien régime, François-Hubert Drouais was skilled at veiling the physical imperfections of his subjects. This portrait certainly has this quality: the face has been idealized, smoothed, and perfected, but the focus of the painting is less on the Marquise and more on her elegant gown, which is a particularly fine rendering of eighteenth-century printed cloth, with the brilliant gold and white fabric strewn with meticulously detailed flowers and lace.",Type of artwork: Painting
Sunflower Studies,"America, 20th century","DescriptionCharles Burchfield made numerous studies of dead sunflowers, focusing on the leaning and twisted forms of the plant. In these drawings, he hoped to capture the contrast of a flower that he saw as “gloriously alive . . . at the height of its vigor . . . [which] nevertheless seems more alive . . . when quite dead.”",Type of artwork: Drawing
Parshva,,"DescriptionParshva is the 23rd of the 24 Jinas who achieved liberation. He is the only one who is depicted with a serpent. This sculpture was made for followers of the branch of Jainism called Digambara, who enforce the regulations of total nudity among those actively seeking liberation. The only adornment of his figure is the auspicious symbol on his chest and the wheels of righteousness on his palms. The stark form of thenude body standing in a posture of meditation is masterfully set off from the array of gods and serpent divinities who venerate him. He stands with his feet on a lotus pedestal, but his hierarchically tall form reaches to the heavens, where gods fly to honor him with flower garlands. Three umbrellas over his head indicate his status as a liberated being worthy of worship.",Type of artwork: Sculpture
Victoria Dubourg,"France, 19th century","DescriptionThis drawing is one of several studies that Edgar Degas created for a painted portrait of the artist Victoria Dubourg, now in the collection of the Toledo Museum of Art. Here, Degas concentrated on the facial expression of Dubourg, known for her still-lifes of flowers. Attempting to precisely render Dubourg's direct gaze, Degas drew her eyes in greater detail, even adding an additional sketch along the sheet's upper margin.",Type of artwork: Drawing
Spring Flowers,"Japan, 20th century",,Type of artwork: Print
Roses in a Vase,"France, 19th century",,Type of artwork: Painting
Gateway Bracket,,"DescriptionGateways leading into a sacred area often had large horizontal architraves, the weight of which was supported by brackets carved with figures of voluptuous women grasping the branch of a tree. They embody the ideal form of the young mother, with breasts full of nourishing milk. As personifications of the sap that pervades living plants, they are auspicious markers of life and abundance. These attractive figures, who embody the purifying water essential for life, symbolically cleanse visitors as they enter the sacred space. On both sides of this large bracket they grasp the branch of an ashoka tree, which has clusters of flowers that are bright red in nature.",Type of artwork: Sculpture
Flower Container,,,Type of artwork: Ceramic
Bodhisattva  Manjushri: Lord of Wisdom,,"DescriptionThe Bodhisattva of Wisdom can be identified by the lion mount, the horizontal palm-leaf manuscript on the lotus above his left shoulder, and the stupa above his head. His seat and footrests are lotus flowers, indicating transcendence of the ordinary world.",Type of artwork: Sculpture
Pasture Rose (Rosa Carolina Corymbosa),"France, 19th century","DescriptionBorn in Belgium, Pierre-Joseph Redouté was trained by his father and began a ten-year career as an itinerant artist at age 13. He joined his brother in Paris working on theater sets and decorations, but his true love was flower painting, such as this drawing. Redouté achieved an international reputation for his botanical illustrations and enjoyed a long, successful career.",Type of artwork: Drawing
Basket of Peonies,"Japan, Edo Period","DescriptionA surimono is a privately commissioned print used to announce or commemorate a special event. This picture celebrates an event in the life of the actor Ichikawa Danjuro VII, whose emblem was the peony. According to Japanese tradition, the peony–one of the flowers of the four seasons–is the flower of summer.",Type of artwork: Print
Sword Guard (Tsuba) with Flowers,,,Type of artwork: Arms and Armor
Costumed Dancers Performing in a Garden Tavern,"France, 18th century","DescriptionGabriel de Saint-Aubin was known for his rapidly executed, sketchy style, often used to depict performances and social scenes. The exaggerated lifted legs of the dancers seen here imply a comic, theatrical style; no social dance during the 18th century would have permitted such pronounced gestures, especially for a woman. Both dancers wear jackets with irregular hemlines decorated with round bells similar to those found on jesters’ costumes. The lanterns and swags of flowers strung from trees and the small orchestra playing on the right suggest a guinguette, or outdoor tavern with a pleasure garden.",Type of artwork: Drawing
Turquoise-beryl Flower Bowl,"America, 20th century",,Type of artwork: Ceramic
Yellow Chrysanthemums and Red Osmanthus in the Style of Wang Yuan,"China, Ming dynasty","DescriptionShen Zhou, a native from Suzhou, was descended from a prominent land-owning family with strong ties to literati culture. Because Shen Zhou never entered government service, he had ample opportunity to cultivate the arts of painting, poetry, and calligraphy.Chrysanthemums and red osmanthus both bloom in autumn. The deep orange osmanthus flowers emanate a characteristically sweet fragrance. According to his inscription on the painting, Shen Zhou sought to imitate the style of the Yuan dynasty (1271–1368) painter Wang Yuan. His color-filled brushstrokes and washes, however, anticipate the flower painting style of Yun Shouping, whose Peonies are also in the Cleveland Museum of Art collection, https://www.clevelandart.org/art/1967.192. The sheer size and complex composition of this scroll are impressive.",Type of artwork: Painting
Susuki Grass,,"DescriptionSusuki grass has a seasonal association with autumn in the Japanese visual and literary tradition. It is one of the “Seven Flowers of Autumn,” along with bush clover, arrowroot, pink, patrinia, mistflower, and bellflower. This composition immerses the beholder in a field of grasses and golden bands of mist. The design may have served as a backdrop for poems brushed in calligraphy on decorated papers and attached to the surface of the screens.",Type of artwork: Painting
Mirror Back with Great Goddess,,"DescriptionAn important female deity commands the watery scene on the back of this mirror. The face, bordered by ear ornaments and partially hidden by a nose ornament, appears beneath a huge headdress with the fringed eyes and curled proboscis of an abstract butterfly. The deity rests on a shell-studded water band and two adoring humans offer flowers or incense in a bag. Mirrors served as costume ornaments and perhaps were used in rituals to divine the unknown.",Type of artwork: Sculpture
Julius Caesar,"Italy, Florence, 15th century","DescriptionRenowned Roman general and statesman Julius Caesar (100–44 BCE) appears here as a political rather than military leader, worn by the burdens of office, with carefully described signs of aging. Mino probably used ancient coins from the collection of the Medici, Florence's ruling family, as his starting point for this sculpture. However, the complex carving, the clinging drapery, and the psychological intensity all characterize the inventiveness Renaissance artists brought to classical subject matter. In this case, Caesar offered an important model for leadership, masculinity, and composure. The garland is clearly by a different hand, but passages, such as the ribbons and flowers in low relief, correspond to details found in other decorative carvings from Mino's workshop. Initially, the limestone setting was probably put into a wall, perhaps in a lunette over the door, from which it was later removed. However, the relationship between the garland and the relief has not yet been clarified and is the subject of ongoing research.",Type of artwork: Sculpture
Pair of Potpourri Vases with Covers,,"DescriptionThese vases were likely made by the celebrated Parisian ceramics firm of Edmé Samson (1810-91). To cater to the resurgence in taste for 18th-century designs, the Samson firm specialized in making reproductions of rare 18th-century European porcelains, especially those from firms that had already copied Chinese porcelains. In this case, these vases are designs taken from models produced by the St. Cloud factory in the 1750s after earlier Qing dynasty Chinese ceramics. However, the telltale sign that these vases are made by Samson and not St. Cloud is that the originals would have been made from a soft-paste porcelain (fired at a lower temperature), while these examples are made of hard-paste porcelain (fired at the highest temperature).",Type of artwork: Ceramic
Belt Buckle with Flowers,,,Type of artwork: Enamel
Flowers in Friend's Window,"America, 20th century",,Type of artwork: Print
The Agony of Flowers,"France, 19th century",,Type of artwork: Print
"Virgin and Child with St. John, St. Catherine of Siena and St. Francis","Italy, 16th century","DescriptionPrinted from four blocks in brown, this chiaroscuro woodcut shows the Virgin and Child flanked by the infant Saint John the Baptist and Saint Francis at right. Saint Catherine of Siena takes place on the left, and holds a flower.",Type of artwork: Print
"Folio 2, from a Kalpa-sutra and Story of Kalakacharya: Monk Holding a Flower (recto); text (verso)",,,Type of artwork: Painting
Liure de Toutes Sortes de fleurs d'après nature:  Vase of Flowers,"France, 17th century",,Type of artwork: Print
Flower Seller at the Trocadéro,"France, 20th century",,Type of artwork: Print
Ros och Lilja (Rose and Lily),"Sweden, Vastanvik, Leksand, 20th century",DescriptionThis design was likely conceived when Ingrid “Gocken” Jobs was a student of graphic design at the Konstakademin (Royal Swedish Academy of Fine Arts). Rose and Lily shows a sampling of indigenous Swedish flowers against a black background. The loose floral arrangement is typical of Gocken Jobs’s whimsical style.,Type of artwork: Textile
Under the Flowers,"France, 19th century",,Type of artwork: Print
A Collection of Flowers Drawn from Nature:  No. 6 - Scarlet and Variegated Geranium,"England, late18th-early 19th Century",,Type of artwork: Print
Wedding Gown,,"DescriptionThis wedding gown is exquisitely embroidered with various symbols of happiness in colorful silk threads. Butterflies stand for marital happiness; the phoenix, numerous offspring; and lotus flowers and white cranes, longevity. Yet, the bridal gown does not attest to the life of luxury. To the contrary, many traces of repairs, trimmings, and patchwork, reflect Joseon-period women’s commitment to value neo-Confucian aesthetics of frugality and modesty. Substantial repairs and patching reveal that this gown served as an important communal resource to be shared and passed down through several generations. Only its collar and sleeves, which are made of thick paper, are replaced with new ones, while the robe was reused for decades.",Type of artwork: Garment
"The Parrot Addresses Khujasta at the Beginning of the Twenty-sixth Night, from a Tuti-nama (Tales of a Parrot)",,"DescriptionWhen the sun, like a saffron-hued frog, plunged into the pond in the west and the moon, like a fish, came out of its snare in the east, Khujasta adorned with many kinds of jewels and bedecked with a variety of gold and silver ornaments went to Tuti to ask permission to leave.The parrot’s cage seems to hover in midair in the porch of a domed pavilion. The flowering treeentwining the cypress alludes to Khujasta’s desire to embrace her lover. As waterfowl course through the air, the parrot begins his story about the frog king Shapur.",Type of artwork: Painting
Covent Garden Labourers,"England, 19th century","DescriptionCovent Garden workers, whose day started before 5 a.m., were divided into job-workers or odd-men—who were paid for each parcel they delivered and thus received little income in the off-seasons—and a much smaller group of salaried workers who were paid year-round to create arrangements and stock and help run the stalls.",Type of artwork: Photograph
Noh Costume (Surihaku) with Flowers in Fence,,,Type of artwork: Garment
Flowers of Evil (Les Fleurs du Mal),"Japan, 21st century",,Type of artwork: Bound Volume
Plum Blossoms and Peonies,"China, Qing dynasty","DescriptionOne of the so-called Yangzhou Eccentrics (a group of painters who lived in Yangzhou and were known for their unorthodox art and lifestyle), Gao Fenghan depicts China’s two most loved flowers in full bloom—the “cold beauty,” or plum blossom, in the first section, and the “king of flowers,” or peony, in the second section. Painted in 1741, the year when Gao decided to leave the south and return home to Shandong province in eastern China, this work was likely a token of farewell. His casual brushwork may indicate his mental and physical struggle at the time. After having crippled his right hand in 1737, Gao used his left hand to paint and achieved a crudeness and eccentric style unattainable before.",Type of artwork: Painting
Large Bowl with Molded Decoration,,"DescriptionThe lobed sides of this bowl open like a flower and rise to a solidly molded and pointed rim reminiscent of metalware. The bowl with a thick, shiny, jadelike green glaze was made by potters who mastered techniques to fire vessels of enormous sizes for the export market. Large bowls and plates were primarily shipped to the Middle East where they were used for banquets, in which food was traditionally offered in the center of a seated gathering.",Type of artwork: Ceramic
Illuminated Folio from a Gulistan (Rose Garden) of Sa'di (c. 1213–1291),Iran,"DescriptionThe border scene is set in a magical forest bursting with blossoms. At the top, a winged lion chases a winged deer, who is caught in the bottom border. The imagery of a lion biting down on its prey dates from the Achaemenid period in Iran (550–330 BCE) and references the valor of the king. A fox scurries off to the right. The verse is written in the Persian language using nastaliq script. Sultan ‘Ali Mashadi was widely renowned for perfecting the nastaliq script, and his calligraphy was a model for many followers across the Islamic world.",Type of artwork: Manuscript
Glazed Chintz with Pheasant and Flower Design,"England, 19th century",,Type of artwork: Textile
"Rainbow Love Mountain Ranch, New Mexico","America, 21st century","DescriptionThis print exemplifies Polly Apfelbaum’s interest in bright, saturated colors and repeated patterns. The artist finds inspiration in popular culture, using simple forms that draw from a wide range of sources—here, typographical characters called dingbats. The work’s title refers to a road sign that Apfelbaum repeatedly passed while she was working at the Tamarind Institute, a lithographic print shop in New Mexico. There, she used a rainbow roll—an ink roller with multiple blended colors—to produce the print’s vivid tonality.",Type of artwork: Print
Locket,,"DescriptionThis locket may have once been an amulet containing prayers and talismans or a container for perfume or other cosmetic items. At the center, a young woman stands between two groupings of large red flowers. The connections between women and nature have ancient precedents in India, often communicating auspicious fertility. Luxury enamels like this were the hallmark of 18th-century Jaipur goldsmiths and jewelry makers. This locket was given to the museum by the Twentieth Century Club, a women’s community group founded in the early 1900s with satellites across the United States.",Type of artwork: Jewelry
Belt Buckle with Flowers,,,Type of artwork: Enamel
Space Flowers #7,America,,Type of artwork: Enamel
"A Woman Plucks Leaves While Awaiting Her Lover: Gunakali Ragini of Malkos, from the “Chawand Ragamala”",,"DescriptionOn a terrace outside an open bedchamber, a dark-skinned woman wearing a skirt of peacock feathers plucks leaves from a tree and has filled her basket with flowers. She has made garlands and hung them on the trees, probably in accordance with a vow made in the ardent hope of bringing back her overdue lover. In accordance with the verse, two peacocks stand perched on the roof.",Type of artwork: Painting
Merging Emerging,"America, Ohio, 21st century","DescriptionAfter decades of working primarily in a figurative mode, Skuodas turned to pure abstraction only recently. Her art often addresses connections between the spiritual and physical realms; in her words, ""I believe our psyches are linked to the laws which manifest themselves in the formation of a flower, a snowflake, or a seashell.""Befitting its title, the painting's composition is structured, yet openended along its perimeter.",Type of artwork: Painting
Thiaroye 1944,"South Africa, 21st century","DescriptionThese men represent Senegalese Tirailleurs, West African soldiers serving in the French army. Those who had been prisoners of war in World War II learned that they would receive no back pay and smaller pensions than white prisoners of war. They protested at Thiaroye; some were killed and many imprisoned. That revolt sparked a nationalist movement in Senegal that eventually liberated the country from French colonial rule.",Type of artwork: Photograph
Flower,"Korea, 20th century",,Type of artwork: Print
Cleveland Flower,"America, 21st century",,Type of artwork: Print
"Zulaykha in her palace and as an elderly woman with Joseph (recto), from a Panj Ganj (Five Treasures) of Abd al- Rahman Jami (Persian, 1414–1492)","India, Mughal patronage in Deccan style, early 17th century","DescriptionThe golden pot of white narcissus flowers at the bottom center of the painting signals that Zulaykha, leaning on her staff to the left, will imminently have her youth and beauty restored. In this Persian retelling of the Old Testament account from the Bible, Zulaykha lusted after Joseph, even though she was already married to Potiphar. Joseph, with the golden halo, resisted her advances until she became a widow and retained his youth, because of his extreme virtue. Above, Zulaykha as a young woman waits for Joseph in her house where murals of them as a happy couple are painted on the walls.",Type of artwork: Painting
Untitled (Shell & dried flowers),"America, 20th century",,Type of artwork: Photograph
Baranquilla,"Sweden, Stockholm, Svenskt Tenn, 20th century","DescriptionThough designed by Josef Frank for the Swedish interior design firm Svenskt Tenn, Baranquilla reflects the landscape and culture of South America through the use of bright colors and imaginative plants. The excellent arrangement of vines, fruit, flowers, and leaves on a black background suggests a dense rain forest at night.",Type of artwork: Textile
Fragment with Tulip and Flower Design,"England, 19th century",,Type of artwork: Textile
Seven Wise Women of the Pleasure Quarters,"Japan, Edo period","DescriptionThe courtesan standing at the center of this print holds a writing brush. She is identified by the fan in her left hand, which has a poem signed Hanaōgi, or Flower-Fan.",Type of artwork: Print
Royal Female Donor,,"DescriptionCarrying a lamp in one hand, this female figure draped in finery was probably included as the donor of a sculptural group. She wears a complex headdress consisting of a network of beads and plaques joined together, ending in a bell at her forehead and crowning a long cloth that reaches to her waist. Her position on a lotus flower may indicate the transcendent state she attained as a result of the karmic merit of her donation.",Type of artwork: Sculpture
The Sunflower Arch,"America, 20th century","DescriptionAt the time he made this drawing, Burchfield had begun to develop a personal symbolic language, which he called “Conventions for Abstract Thoughts.” Using simple forms, such as the arched shape of the flowers seen here, he aimed to communicate universal emotions—in this case, “Mute Sorrow.” Burchfield saw a connection between this mood and sunflowers, which were among his favorite subjects. He often depicted them anthropomorphically, suggesting either open eyes or, as here, slumped human forms—as he described, “giv[ing] a sense of pre-autumnal melancholy in early September.”",Type of artwork: Drawing
Fading Flowers No. 2,"America, 20th century",,Type of artwork: Drawing
Camera Work: Dawn-flowers,"America, 20th century",,Type of artwork: Bound Volume
Set of Headdress Ornaments,,"DescriptionHair ornaments depicting flowers, butterflies, or birds were worn by ladies of the Manchu elite class.",Type of artwork: Jewelry
Sutra Container,,"DescriptionThis is a portable container once used to preserve a miniature Buddhist sacred text. Created by hammering the reverse, high-relief designs on both the front and back of the case depict a peaceful pond where young boys are holding giant lotus flowers in their hands, and a pair of mandarin ducks are swimming. Probably the playful boys represent newly reborn souls in the Pure Land.",Type of artwork: Metalwork
Bed cover with floral medallion pattern,,"DescriptionIn the center, a blue and gold bird grasps the curling stem of a trilobed flower. Bright colors and dizzying patterns radiate from this medallion, creating a delicate garden set against a soft white ground. In changing light, the gilt- and silver-wrapped threads animate the entire textile.Techniques for creating metal-wrapped threads were introduced to Indian workshops in the early 1700s by Portuguese merchants, who frequently traded in Indian textiles. However, embroidery techniques have been in use on the subcontinent since ancient times, as evidenced by the discovery of bronze needles and the representation of textiles in sculpture and paintings.",Type of artwork: Embroidery
