Title,Country,Period,Classification
"Aurora amongst clouds and dropping flowers below, a putto at right and two birds below, after a fresco in the Palazzo Verospi, Rome",Null,Date Unknown,Prints
"The Terrace, with flower-pots and vines, a man ascending a staircase at right, an obelisk in the background at center, from 'Views' (Vedute altre prese da i luoghi altre ideate da Antonio Canal)",Null,Date Unknown,Prints
"Friezes with Birds, Flowers and Meandering Wreaths and Scrolls (1)",Null,Date Unknown,Prints
"Vase with a bouquet of flowers, from Vases et cartouches, plate 6, bound in Oeuvres. Vol. III",France,Date Unknown,Prints
"Ceiling decoration with an octagon in which cherubs are depicted throwing flowers, from Nouveaux dessins de plafonds, plate 3, bound in Oeuvres. Vol. I",France,Date Unknown,Prints
"Ceiling decoration with two putti throwing flowers at the center, from Plafonds modernes, plate 11, bound in Oeuvres. Vol. I",France,Date Unknown,Prints
"Bedroom ornamented with festoons of fruit and flowers, from Alcôves, plate 6, bound in Oeuvres. Vol. I",France,Date Unknown,Prints
Round brooch with blue enamel flowers,Null,Date Unknown,Metalwork
"Vase topped with a bouquet of flowers within a large border, bound in Oeuvres. Vol. III",France,Date Unknown,Prints
"Two vases in profile within a border containing two female figures holding festoons of flowers and leaves, from Vases ou burettes, plate 4, bound in Oeuvres. Vol. III",France,Date Unknown,Prints
Cartouche with two putti and flowers,Null,Date Unknown,Prints
"Actress in hat with flowers and lapel watch pin, from the Girls series (N453) issued by The Banner Tobacco Company to promote Night Watch Long Cut Chewing and Smoking Tobacco",Null,Date Unknown,Prints
"Shibai nendai ki: Hana no Edo kabuki. Vol. 1 (theater chronicle, the flowering of Edo 
Kabuki maiko chronology)",Null,Date Unknown,Illustrated Books
"Hana Edo kabuki nendai ki, Vol. 2 (record of the flowering of Edo Kabuki)",Null,Date Unknown,Illustrated Books
"Shibai nendai ki: Hana no Edo kabuki. Vol. 2 (theater chronicle, the flowering of Edo 
Kabuki maiko chronology)",Null,Date Unknown,Illustrated Books
"Shibai nendai ki: Hana no Edo kabuki. Vol. 3 (theater chronicle, the flowering of Edo 
Kabuki maiko chronology)",Null,Date Unknown,Illustrated Books
"Shibai nendai ki: Hana no Edo kabuki. Vol. 5 (theater chronicle, the flowering of Edo 
Kabuki maiko chronology)",Null,Date Unknown,Illustrated Books
"Hana Edo kabuki nendai ki, Vol. 1 (record of the flowering of Edo Kabuki)",Null,Date Unknown,Illustrated Books
"Shibai nendai ki: Hana no Edo kabuki. Vol. 4 (theater chronicle, the flowering of Edo 
Kabuki maiko chronology)",Null,Date Unknown,Illustrated Books
"Shibai nendai ki: Hana no Edo kabuki. Vol. 6 (theater chronicle, the flowering of Edo 
Kabuki maiko chronology)",Null,Date Unknown,Illustrated Books
"Prang Album Pictures: ""Our National Flower""",Null,Date Unknown,Albums
Examples for Drawing and Colouring Flowers,Null,Date Unknown,Books
How to Shade Embroidered Flowers & Leaves,Null,Date Unknown,Books
Flowers from Shakespeare's Garden: A Posy from the Plays,England,Date Unknown,Books
Group of Flowers in Natural Outlines,Null,Date Unknown,Prints
Group of Flowers in Natural Outlines,Null,Date Unknown,Prints
Group of Flowers in Natural Outlines,Null,Date Unknown,Prints
Group of Flowers in Natural Outlines,Null,Date Unknown,Prints
Group of Flowers in Natural Outlines,Null,Date Unknown,Prints
Group of Flowers in Natural Outlines,Null,Date Unknown,Prints
Group of Flowers in Natural Outlines,Null,Date Unknown,Prints
Group of Flowers in Natural Outlines,Null,Date Unknown,Prints
"Vignette accompanying a poem, depicting two male figures and a female figure in a landscape with a basket of flowers on the ground at the female figure's left",Null,Date Unknown,Prints
Vignette depicting a garden party with figures at left in foreground with baskets of flowers seated at a table and a dog beneath the table looking towards a little boy; musicians play at left; a balcony in the distance at right,Null,Date Unknown,Prints
Vignette accompanying music depicting a woman presenting a seated man with flowers as onlookers surround them,Null,Date Unknown,Prints
"Flowers of Loveliness; Twelve Groups of Female Figures, Emblematic of Flowers",Null,Date Unknown,Books
"Bouquets et Frondaisons (Flowers and Foliage), Pl. 14",Null,Date Unknown,Books
"Bouquets et Frondaisons (Flowers and Foliage), Pl. 20",Null,Date Unknown,Books
"Bouquets et Frondaisons (Flowers and Foliage), Pl. 9",Null,Date Unknown,Books
"Bouquets et Frondaisons (Flowers and Foliage), Pl. 17",Null,Date Unknown,Books
"Bouquets et Frondaisons (Flowers and Foliage), Pl. 19",Null,Date Unknown,Books
Sunflowers,Null,Date Unknown,Paintings
Ornamental Designs with Garlands and Bundles with Stylized Flowers and Leaves,France,Date Unknown,Books
Ornamental Designs with Garlands and Bundles with Stylized Flowers and Leaves,France,Date Unknown,Books
Ornamental Designs with Garlands and Bundles with Stylized Flowers and Leaves,France,Date Unknown,Books
Ornamental Designs with Garlands and Bundles with Stylized Flowers and Leaves,France,Date Unknown,Books
Ornamental designs with garlands and bundles of stylized flowers and leaves,France,Date Unknown,Books
"Ornamental design with a bundle of scrolling branches, leaves, and stylized flowers",France,Date Unknown,Books
Textile (?) design with scrolling ribbons and branches with stylized flowers and leaves,France,Date Unknown,Books
Ornamental designs with bundles of large exotic flowers,France,Date Unknown,Books
Ornamental Designs with Garlands and Bundles with Stylized Flowers and Leaves,France,Date Unknown,Books
Ornamental Designs with Garlands and Bundles with Stylized Flowers and Leaves,France,Date Unknown,Books
Ornamental designs with garlands and bundles of stylized flowers and leaves,France,Date Unknown,Books
Ornamental designs with garlands and bundles of stylized flowers and leaves,France,Date Unknown,Books
Design for a shawl with paisley leaves and exotic Indian flowers,France,Date Unknown,Books
Designs for morning laces with garlands of flowers and leaves,France,Date Unknown,Books
Textile (?) designs with stylized flowers and scrolling branches with leaves,France,Date Unknown,Books
Textile Design with White and Red Flowers over a Blue Ground,Null,Date Unknown,Drawings
Textile Design with a Black-and-White Pattern with Squares and Shuttle Motifs Decorated with Stylized Flowers and Branches with Leaves,Null,Date Unknown,Drawings
Textile Design with Pink and Yellow Flowers over a Blue and White Background with Glitched Scrolling Motifs,Null,Date Unknown,Drawings
Textile Design with Large White Stylized Flowers over a Dark Blue and Pink Striped Background,Null,Date Unknown,Drawings
Textile Design with Vertical Undulating Stripes with Offsetting Thorns and Vertical Garlands of Stylized Flowers and Leaves,Null,Date Unknown,Drawings
Textile Design with Large Pink Stylized Flowers over a Blue Checked Background,Null,Date Unknown,Drawings
Textile Design with Alternating Vertical Undulating Lines and Vertical Strips of Flowers Inside Shuttle-Shaped Motifs,Null,Date Unknown,Drawings
Textile Design with Vertical Strips of Bundles with Large Stylized Flowers and Branches with Leaves,Null,Date Unknown,Drawings
"Textile design with large, exotic flowers and leaves, after 16th-century Indian curtain",France,Date Unknown,Books
Textile designs with interlacing branches with paisley leaves and orientalist flowers,France,Date Unknown,Books
Design for a shawl with paisley leaves and orientalist flowers,France,Date Unknown,Books
"Designs for two bracelets and two brooches with scrolls, pearls, flowers, and leaves",Null,Date Unknown,Albums
"Textile (?) designs with semi-abstract patterns, scrolling branches, and stylized flowers and leaves",France,Date Unknown,Books
Design for a Haircomb with a Bundle of Iridescent White Flowers and Three Red Stones,Null,Date Unknown,Albums
Design for Embroidery with a Variety of Bundles with Stylized and Exotic Flowers and Leaves,Null,Date Unknown,Drawings
Ornamental designs with small bundles with stylized flowers and leaves,France,Date Unknown,Books
Ornamental designs with bundles of flowers and leaves,France,Date Unknown,Books
"Hepatique, Josie Hall, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Sweet Fern, Miss Dutailley, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Morning Glory, Ruth Stetson, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Nasturtium, Jennie Satterlee, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Witch Hazel, Lillian Grubb, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Carnation, Annie Robe, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Violets, Mrs. Edith Kingdon-Gould, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Poppies, Mrs. James Brown Potter, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Dahlias, Mme. Cottrelly, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Buttercups, Mollie Fuller, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Auricula, Bella Archer, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Lilacs, Fannie Rice, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Violet Asters, Isabelle Irving, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Pink Geranium, Nannie Carter, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Apple Blossom, Louise Paullin, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Primrose, Mrs. Langtry, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Fuchsia, Grace Henderson, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Nasturtium, Jennie Satterlee, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Hepatique, Josie Hall, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Hyragranda, Isabelle Evesson, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Purple Daisy, Ada Rehan, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Fuchsia, Grace Henderson, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Dragon Lily, Miss Engel, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Hepatique, Josie Hall, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Single Pinks, Adelaide Emerson, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Grass Pinks, Leila Farrell, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Jonquils, Miss Ilga, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Tube Rose, Theresa Vaughn, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Wild Field Carnation, Cora Tanner, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Pansies, Isabelle Urquhart, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Cowslip, Jennie M'Nulty, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Dandelions, Rita Hart, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Rhododendron, May Fortescue, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Poppies, Mrs. James Brown Potter, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Rose, Laura Burt, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Wild Field Carnation, Cora Tanner, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Gentian, Lillian Russell, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Daisy, Maud Branscombe, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Jonquils, Miss Ilga, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Violet Asters, Isabelle Irving, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Edelweiss, Sadie Martinot, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Lynchnis Alfina, Nettie Guyon, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Rhododendron, May Fortescue, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Apple Blossom, Louise Paullin, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Gentian, Lillian Russell, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Buttercups, Mollie Fuller, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Edelweiss, Sadie Martinot, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Dahlias, Mme. Cottrelly, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Wild Verbena, Agnes Miller, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Clustered Bell, Georgie Cayvan, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Golden Ragwort, Geraldine Ulmer, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Clustered Bell, Georgie Cayvan, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Cudweed, Miss Spear, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Cudweed, Miss Spear, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Sweet Fern, Miss Dutailley, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Tulip, Hattie Delaro, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Daisy, Maud Branscombe, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Raspberry Blossom, Kate Uart, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Pansies, Isabelle Urquhart, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"China Pink, Effie Shannon, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Tube Rose, Theresa Vaughn, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Wild Rose, Estelle Clayton, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Mistletoe, Eveleen Rayne, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"China Pink, Effie Shannon, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Rose, Laura Burt, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Dahlias, Mme. Cottrelly, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Violets, Mrs. Edith Kingdon-Gould, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Yellow Cactus, Pauline Hall, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Tulip, Hattie Delaro, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Yellow Cactus, Pauline Hall, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Mistletoe, Eveleen Rayne, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Auricula, Bella Archer, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Yellow Wind-Flower, May Newmann, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
Design for a Haircomb with a Grasshopper and a Bundle of Flowers,Null,Date Unknown,Albums
"Textile Design with Round Frames with Sailing Ships, Flowers and Bucket and Shovel Motifs Over a Checked Background",Null,Date Unknown,Drawings
Textile Design with Red and Green Square Motifs with Stylized Flowers and Rabbits over a Blue and White Checked Pattern Decorated with Dots,Null,Date Unknown,Drawings
Textile Design with Interlacing Branches with Flowers and Leaves Over a Checked Background,Null,Date Unknown,Drawings
"Textile Design with Bundles of Flowers and Leaves, Camels and a Checked Pattern",Null,Date Unknown,Drawings
"Textile Design with Scrolling C-Curves with Gingham Patterns, Heart Motifs Hanging from Ribbons and Bundles of Flowers and Leaves",Null,Date Unknown,Drawings
Textile Design with Scrolling Branches with Leaves and Stylized Orientalist Flowers over a Striped Background,Null,Date Unknown,Drawings
"Textile Design with Vertical Garlands of Flowers and Leaves, Stripes and Stippled Triangles",Null,Date Unknown,Drawings
Textile Design with Thin Garlands of Red and White Flowers and Leaves over a Blue Checked Pattern,Null,Date Unknown,Drawings
Textile Design with Bundles of Paisley Motifs and Stylized Flowers over a Checked Background,Null,Date Unknown,Drawings
Textile Design with Vertical Garlands of Stylized Flowers and Leaves,Null,Date Unknown,Drawings
"Textile Design ""Pima"" with Semi-Abstract Flowers and Birds",Null,Date Unknown,Drawings
"Textile Design with a Pink, Blue and White Diagonal Checked Pattern Decorated with Outlined Stylized Flowers",Null,Date Unknown,Drawings
Textile Design with Large Stylized Flowers with Paisley Motifs and Small Roses,Null,Date Unknown,Drawings
Textile Design with Acoma-Inspired Tribal Motifs with Abstract Flowers and Birds,Null,Date Unknown,Drawings
"Textile Design with White, Blue and Red Stylized Flowers",Null,Date Unknown,Drawings
"Six designs for brooches with scrolling branches, pearls, and stylized flowers and leaves",Null,Date Unknown,Albums
"Eight designs for brooches with stylized leaves, flowers, and ribbons",Null,Date Unknown,Albums
"Eight designs for brooches with scrolling branches, flowers and leaves",Null,Date Unknown,Albums
"Ten designs for brooches with flowers, leaves, and scrolls",Null,Date Unknown,Albums
"Yellow Wind-Flower, May Newmann, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
Campion Rose from the Language of Flowers series (N366) issued by the Lone Jack Cigarette Company to promote Unknown Cigarettes,Null,Date Unknown,Prints
Red Chrysanthemum from the Language of Flowers series (N366) issued by the Lone Jack Cigarette Company to promote Unknown Cigarettes,Null,Date Unknown,Prints
"Yellow Bachelor's Button, Miss Billie Barlow, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Violets, Mrs. Edith Kingdon-Gould, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Yellow Bachelor's Button, Miss Billie Barlow, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Forget-Me-Nots, Miss Lewis, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Forget-Me-Nots, Miss Lewis, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Yellow Bachelor's Button, Miss Billie Barlow, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Null,Date Unknown,Prints
"Woman in red striped dress, from the Costumes and Flowers series (N304) to promote Mayo's Cut Plug Tobacco",Null,Date Unknown,Prints
"Woman in green dress with white sash, from the Costumes and Flowers series (N304) to promote Mayo's Cut Plug Tobacco",Null,Date Unknown,Prints
"Woman in purple dress and purple stockings, from the Costumes and Flowers series (N304) to promote Mayo's Cut Plug Tobacco",Null,Date Unknown,Prints
"Woman in wheat-patterned dress, from the Costumes and Flowers series (N304) to promote Mayo's Cut Plug Tobacco",Null,Date Unknown,Prints
"Woman in red dress with pink bodice, from the Costumes and Flowers series (N304) to promote Mayo's Cut Plug Tobacco",Null,Date Unknown,Prints
"Woman in white dress with blue sash, from the Costumes and Flowers series (N304) to promote Mayo's Cut Plug Tobacco",Null,Date Unknown,Prints
"Woman in brown dress with green bows, from the Costumes and Flowers series (N304) to promote Mayo's Cut Plug Tobacco",Null,Date Unknown,Prints
"Woman in red and yellow striped dress with a straw hat, from the Costumes and Flowers series (N304) to promote Mayo's Cut Plug Tobacco",Null,Date Unknown,Prints
"Woman in green striped dress, from the Costumes and Flowers series (N304) to promote Mayo's Cut Plug Tobacco",Null,Date Unknown,Prints
"Woman in green dress with brown shawl, from the Costumes and Flowers series (N304) to promote Mayo's Cut Plug Tobacco",Null,Date Unknown,Prints
"Woman in pink dress with white pinafore, from the Costumes and Flowers series (N304) to promote Mayo's Cut Plug Tobacco",Null,Date Unknown,Prints
"Woman in brown pinafore and pink bonnet, from the Costumes and Flowers series (N304) to promote Mayo's Cut Plug Tobacco",Null,Date Unknown,Prints
"Woman in yellow striped dress, from the Costumes and Flowers series (N304) to promote Mayo's Cut Plug Tobacco",Null,Date Unknown,Prints
"Woman in white dress and blue bodice, from the Costumes and Flowers series (N304) to promote Mayo's Cut Plug Tobacco",Null,Date Unknown,Prints
"Woman in red hat holding straw, from the Costumes and Flowers series (N304) to promote Mayo's Cut Plug Tobacco",Null,Date Unknown,Prints
"Woman in green dress with yellow sash, from the Costumes and Flowers series (N304) to promote Mayo's Cut Plug Tobacco",Null,Date Unknown,Prints
"Woman in green dress with pink bodice, from the Costumes and Flowers series (N304) to promote Mayo's Cut Plug Tobacco",Null,Date Unknown,Prints
"Woman in purple bodice with sunflowers, from the Costumes and Flowers series (N304) to promote Mayo's Cut Plug Tobacco",Null,Date Unknown,Prints
"Woman in purple dress with green cuffs, from the Costumes and Flowers series (N304) to promote Mayo's Cut Plug Tobacco",Null,Date Unknown,Prints
"Woman in white dress with purple shoes, from the Costumes and Flowers series (N304) to promote Mayo's Cut Plug Tobacco",Null,Date Unknown,Prints
Tent Panel with Flowering Motif,Null,Date Unknown,Textiles
"Ornamental Designs with Palmettes, Flowers, and Scrolling Leaves",France,Date Unknown,Books
Ornamental designs with thin bundles and garlands of flowers and leaves,France,Date Unknown,Books
"Bouquets et Frondaisons (Flowers and Foliage), Pl. 2",Null,Date Unknown,Books
"Bouquets et Frondaisons (Flowers and Foliage), Pl. 1",Null,Date Unknown,Books
Ornamental designs with stylized flowers and scrolling leaves,France,Date Unknown,Books
Sunflowers,Null,Date Unknown,Paintings
"Phantom Flowers, a treatise on the art of producing skeleton leaves",Null,Date Unknown,Books
"Title Page: The Specimen Book of Fruits, Flowers and Ornamental Trees, Carefully Drawn and Colored from Nature, For the Use of Nurserymen",Null,Date Unknown,Prints
"Interior with a Canopy Bed with a Vase of Flowers Decorating the Headboard, from Second Liure Dappartements, part of Œuvres du Sr. D. Marot",The Netherlands,Date Unknown,Prints
"Series of Blackwork Ornaments combined with Figures, Birds, Animals and Flowers",Null,Date Unknown,Albums
Flora Exotica: A Collection of Flowering Plants,Null,Date Unknown,Books
"Wax flowers, how to make them.  With new methods of sheeting wax, modelling fruit, etc.",Null,Date Unknown,Books
"The Burial of Saint Petronilla, being lowered into her grave with flowers in her hair in the foreground, bystanders at left and right, Christ and angels in the clouds overhead, after a painting (1621-22) by Guercino for Saint Peter's Basilica",Null,Date Unknown,Prints
"The Throne of Solomon with female figures on either side hilding incense burners and flowers, from Maria Vergine Coronata; Descrizione e dichiarazione della Divota Solennita fatta in Reggio li 13 Maggio 1674",Italy,Date Unknown,Prints
"Plate 17: Two draped female figures, one of whom holds fruits and flowers, approaching an altar, from a series of 44 plates depicting the stucco medallions by Raphael's workshop designed for the Vatican Loggie",Null,Date Unknown,Prints
Lady in a Flowered Dress,Null,Date Unknown,Photographs
Beach with Wild Flowers and Rocks (from Sketchbook VII),Null,Date Unknown,Not Assigned
"The Burial of Saint Petronilla, being lowered into her grave with flowers in her hair in the foreground, bystanders at left and right, Christ and angels in the clouds overhead, after a painting (1621-22) by Guercino for Saint Peter's Basilica",Null,Date Unknown,Prints
"Introduction to the Art of Cutting Groups of Figures, Flowers, Birds, Etc. in Black Paper",Null,Date Unknown,Books
"The Rest on the Flight into Egypt, the Holy Family resting among ruins, Joseph sleeping at left, the Christ child and Mary receiving food from two angels kneeling at right; putti overhead scattering flowers, an elephant standing at right and a donkey at left",Null,Date Unknown,Prints
