Title,Country,Period,Classification,_ - description
Portrait of a Girl,United States,20th Century,Paintings,"standing blonde little girl with green eyes, wearing a pink dress with white polka dots, pink hair ribbon, white socks with pink trim, and red shoes, and holds a purple flower in her PR hand; girl has blank facial expression; girl stands in front of a wall mural with a blue and yellow dragon against a red ground with glitter highlights against a red ground with bold black Chinese characters; shiny black floor"
Coltsfoot,England,20th Century,Prints,yellow flowers and rounded white fluffy flower heads gone to seed against a purple twilight sky
"Amour, ma chérie",Burkina Faso,20th Century,Photographs,"standing black woman wearing a long skirt and a sleeveless blouse made of the same fabric printed with double hearts pierced with an arrow and the words, ""AMOUR"" and ""MA CHERIE""; woman also wear gold hoop earrings and a printed headwrap and carries a purse with a diamond design; checked floor; cloth backdrop with a painted backdrop of column and flowers at left"
Les Fleuves,France,18th Century,Prints,"Four Corners of the World, an allegorical scene with Four Rivers; the river Nile, Africa, right, a half naked man leaning against an urn and embracing a black woman and wearing a crown of corn; three putti playing with a crocodile lower right; the river ganges, Asia, at left as a half naked man seated at top right while a woman embraces him; a tigress at lower left suckling her young and growling at crocodile; another river god (America) as a half naked man with vegetables and flowers in his hair left background, a woman seated behind him; the river Danube as a half naked man in right background holding an oar and looking at a naked woman sitting next to him; coat of arms of the Duc d'Orleans in lower margin"
Untitled (Drawing study),France,19th Century,Drawings,"three figure drawings adhered to a sheet of paper: a. image of a female figure, backing facing outward, wears Japanese-style robe with hair in a high bun; vase in ULQ b. single female figure in a corset, wearing a headpiece and long stockings c. single flower hanging from thin stem"
Print,Italy,18th Century,Prints,Virgin holding child in an oval frame covered with flowers; 3 cherubs at top; plaque below with inscription
"Man and Child, Annandale, MN",United States,21st Century,Photographs,"young black man wearing black tank top and sideways striped baseball cap, holding a baby wearing a flowered dress"
Tourists at Niagara Falls,United States,20th Century,Prints,"cartoonish figures standing with Niagara Falls behind them; from left: man in a suit and hat, looking at a camera; heavyset woman wearing a hat with flowers pointing at waterfall with her PL hand and holding the shoulder of a boy with an ice cream cone with her PR hand; couple holding hands--man wearing suit and hat and woman with large nose wearing short-sleeved dress and hat"
Floral Still Life,United States,20th Century,Prints,large bouquet of flowers in a cylindrical vase; hatched background
"Two court scenes, one with a woman presiding the other with a man [Nur Jahan and Jahagir?]",India,19th Century,Drawings,"two facing manuscript pages with blue borders with scrolling gilt floral designs and gilt cartouches with red flowers; left image of a woman seated on a throne beneath a canopy, accompanied by women and girls, with a pair of staircases at bottom flanking a fountain and additional women; right image of similar interior with man seated on throne accompanied by men and boys, with two men next to stairs at left and three women next to stairs at right; text on back"
Untitled,England,21st Century,Drawings,"abstract image of flowers, branches and leaves in black and white; from the de luxe edition of ""The World of Gilbert & George: The Storyboard"""
Anna Wasser,France,18th Century,Prints,"portrait, right profile; oval wreath around portrait of flowers and ribbons; left of wreath a building, basket, a palette with brush and a cylindrical object with pen; at right water wheel and building"
Birchbark basket with leather handle,Null,20th Century,Basketry,"birchbark basket with rectangular bottom and oval mouth opening; leather thong handle; brown decorations including scalloped edging around top, three flowers on one side, and ""TEMA GAMI"" on opposite side"
Birchbark basket,Null,20th Century,Basketry,cylinder shaped with flat bottom; sides decorated with brown scalloped edging and two floral motifs with red and green flowers and leaves with orange stitching
Birchbark basket,Null,20th Century,Basketry,"rectangular shaped base, with outward-flaring sides; rectangular mouth opening; golden brown exterior with slightly darker brown stencils--pair of flowers on each long side, star shape on short ends"
Miniature canoe,Null,20th Century,Quillwork,"miniature canoe; medium brown; birchbark body; side of body decorated with quillwork in predominately white, pale green, yellow and orange; stars on ends; each side decorated with different types of flowers and stars"
Covered quillwork birchbark box,Null,20th Century,Quillwork,"square, rather short box; cover and sides decorated with quillwork flowers in pink, yellow, white and purple with green stems and leaves; edges of cover decorated with pink and white diamonds and brown Xs"
Covered quillwork box,Null,20th Century,Quillwork,rectangular box with cover; medium brown; white quillwork with spray of flowers on cover and individual blossom on each side of box; X motif trim
Covered quillwork box,Null,20th Century,Quillwork,small round box with flat top and bottom; quills overall with white fading into brown on sides; top decorated with red flower with white center and three brown leaves
Basket with cover,Null,20th Century,Basketry,oval shape with flat top and bottom; light brown; cover has oval star/flower shape in red at center; two brown zigzag bands around top edge of cover flank an orange zigzag band; brown band around bottom edge of cover; very faded design of crossed flags (?) on each side of body; brown band around bottom edge of box
Jacques-Campo Weyerman,France,18th Century,Prints,"portrait bust of man turned right, looking at viewer; wearing long curly wig; in an oval with painting of fruit at left and flowers at right; books on pedestal left and palette with brushes on pedestal at right"
Barockes Welttheater (Daniel Pfisterer’s Baroque World Theater) #106,Germany,21st Century,Prints,"black-and-white images of flowers, with moth at top center and carnations in each top corner; flower with striped petals at center; flower on stem with leaves at bottom center; variegated, blotchy washes of color--oranges and greens; some hand-written text in German--some text backwards"
Barockes Welttheater (Daniel Pfisterer’s Baroque World Theater) #113,Germany,21st Century,Prints,"black-and-white images of flowers with pair of horizontally placed tulips at top below an ovoid cartouche with scroll edging at top center, with hand-written text in German; pairs of flowers on stems at left and right center; strawberry-like elements on stems at bottom corners; tulip at bottom center with a black beetle to right of flower; variegated, blotchy washes of color--orang, blue and tan/olive green; some hand-written text in German--some text backwards"
Child's jacket,China,Date Unknown,Clothing,"black body; embroidered section on body on front and back with indigo blue ground with vertical rows of birds, flowers and butterflies in salmon pink and cream; striped bands and band of radiating stars/snowflakes at bottom on front and back; purple and pink horizontal striped band at back of neck across top of shoulders"
Child's jacket,China,Date Unknown,Clothing,"jacket with open front, with grey and white tie closure; jacket is longer in front than back; maroon body; dark blue and purple striped and geometric bands around collar and on sleeves; bands of star and geometric patterned applique in dark blue, dark green, purple and black with metallic gold and silver along tops of sleeves and shoulder, edged in purple and dark blue; black panel on back with dark blue, blue and dark green organic flower and butterfly forms"
Child's vest,China,Date Unknown,Clothing,"pullover vest/overlay, with overall T shape; T shaped neckline; medium indigo lining; dark blue and white dyed exterior with geometric rectangular overall designs of scrolling, wavy, chevron and geometric bands and scrolling flower-like forms"
Man's jacket,China,Date Unknown,Clothing,"stand-up collar; frog closure at neckline; side vents; layered elements on back at tail and on sleeves; front has blue and white dyed overall design of scrolling flowering vines with birds, edged in floral bands; embroidered panels on sleeves in red, green and yellow on white with decorative geometric bands and diamond and geometric motifs; top back panels are dyed blue and white with similar scrolling vine and bird design as front; pair of rectangular tails with blue and white dyed radiating rectangles with various decorative bands (primarily various scrolling wavy patterns), each with two central embroidered squares with predominately maroon, yellow and green forms on black"
Man's jacket,China,Date Unknown,Clothing,"stand-up collar; frog closure at neck; side vents; front has blue and white overall dyed pattern of diamonds with four birds surrounding floral roundels or flowers with floral rondels in two motifs; floral band edging; sleeves are blue and white dyed with scrolling and geometric bands and applique with embroidered geometric diamonds in predominately red alternating with blue and white dyed scroll and geometric diamonds; embroidered bands on sleeves in turquoise and tan, with turquoise, green and red plain bands; cuffs are blue and white dyes with floral bands; back had overall blue and white dyed motif with flowers and birds similar to front; two rectangular tails on back at bottom with dyed blue and white radiating patterned rectangles with geometric designs and scrolls, each with a pair of embroidered diamonds with multicolored geometric design bordered by a rectangle of alternating blue, red and green"
Kyoto Chrysanthemum,United States,20th Century,Prints,"abstract image; blue and pink irregular gridlines throughout; colorful, with pen and ink drawing-like marks; two bold red Xs at center with flowers and small marks behind them; shaded-in rectangles in top corners; flower form in URC; large abstracted colorful flower form at left center; triangular and cube forms at left center; some pink washes in inverted T shape at bottom and center; ""FORM"" and ""Illusion"" in LLC; ""Illusion"" and ""BELIEF"" in LRC"
Printed textile panel,Null,19th Century,Textiles,"roller printing on commercial cotton; floral; tan ground; large red flowers; red, greens, and white"
Sarassa,Indonesia,19th Century,Textiles,"printed and resist dyed; rosettes in a diamond format with a large floral and tumpal border; maroon, pink, black, white, pale green, turquoise; borders with red flowers; zigzags at each end with red flowers and maroon sections at each end; borders on maroon sections are black, white, and maroon chased cartouches; identical to L2018.134.2"
Kain sembagi,India,17th - 18th Century,Textiles,"hand-drawn resist and mordant dyed, handspun and woven cotton; design shows a delicate scrolling vine with carnations and other flowers against a finely dotted background; coloration and design are in the Mughal or Jaipur style; central field of scrolling foliage with red and light blue flowers in various forms, with ground of red circles; similar bands at each end; zigzag elements with similar flowers and red at each short end"
Kain lelohor,India,17th - 18th Century,Textiles,"hand-drawn, resist and mordant dyed on both sides, handspun cotton woven in one piece; field is an overall pattern of rosettes in red and white within a grid of strapwork against a background of an unusual gray blue; medium blue, dark blue, red, white, tan; flowers in cartouches with geometric Xs between them; red at ends with zigzag borders with flowers and scrolls"
"White Porcelain Flower Vase from the Song Dynasty, right from a set of ""Three Vases""",Japan,20th Century,Paintings,white vase with band of flowers with scrolling stems; white morning glories and red flowers (red ginger?) with green leaves with red veins inside vase; ivory roller ends
Lawrence in the Garden at Blackheath Park with Lupins,United States,20th Century,Paintings,"portrait of a blonde man, wearing a red, white, and blue checked shirt, looking down, at right, with hyacinth-like flowers in the background in pink, orange, and purple; brick wall beyond in background; received unframed"
Woman’s jacket (haori) with design of submarines,Japan,20th Century,Clothing,"short kimono; grey and black wavy lines with red submarines; ikat; lining in upper body of purple silk with outlines of flowers in white and light pink foliage in background, and white fans with brightly colored flowers"
Coronation Jubilee pattern adire wrapper,Nigeria,20th Century,Clothing,"two panels; one long edge of each panel sewn together; folded and sewn hems along short edges; dye resist with green and blue banded cloth with purple flower design underneath indigo dye; design is same on each panel mirrored over center seam; band of pairs of bird figures and floral dot design along long edges; two bands of lettering on each panel; large oval at center of each panel with torso, hands and head of two human figures wearing headdresses; human figures with infinity spiral design as torsos on sides of ovals; large vegetal designs: leaves, flowers, trees; large lion-like figures with manes and claws; dot pattern fills any open space in design"
Hooded kimono (katsugi),Japan,19th Century,Clothing,"blue, off-white and black short-sleeved kimono; black band with zig-zag border at bottom, with off-white design of flowers and birds; blue hexagons bordered with off-white lines; hexagons filled with off-white circular pattern with four drop-like shapes pointing towards circle; some hexagons have black interior; wide black collar strip with hexagon pattern continuing down opening flaps; large black oval on back below collar, with white border and white in leaf pattern; paste resist technique"
Portrait of José Mojica,United States,20th Century,Paintings,"portrait of a man with black hair and curling sideburns, wearing a red headscarf, short maroon jacket with elaborate gold trim and buttons with maroon laces across chest, matching maroon pants, white blouse, and green cummerbund, with a colorful Mexican blanket over his PL shoulder and holding a brown hat in his PL hand; green walls; Southwestern landscape through window in URQ, with bouquet of orange, purple, and yellow flowers in a vase on windowsill; portion of a portrait of a mother and child on a shelf in ULC"
Temple hanging (noren),Japan,19th Century,Textiles,indigo hanging with blue and off-white design; off-white lines and filled spaces form design of off-white lotus flowers and buds rising out of water on stalks; indigo and blue circular flowers in water and rising on off-white stalks; design in lower half of hanging with upper half plain indigo; nine tab loops across top hem for hanging; tsutsugaki technique
Barkcloth panel,Democratic Republic of Congo,20th Century,Textiles,"rectangular panel; yellowish brown; grey designs; freeform curving lines, with two terminating with star or flower shapes; some parallel lines in pairs and one group of three"
Kimono-shaped quilt (yogi) with crest,Japan,19th Century,Clothing,"thick, padded kimono; grey and black geometric design on torso and sleeves; grey and black multi-directional diagonal stripe pattern with grey clockwise swastikas connecting grey lines; indigo lining throughout interior; indigo bands around sleeve ends and bottom; indigo rectangles at bottom of front opening flaps; large off-white circular design of flower and spiraling leaves on upper back; katazome technique"
Wall hanging (hiasan dinding),Indonesia,20th Century,Textiles,"hand-drawn batik; purplish-red and off-white panel; red and off-white striped band at each short end; off-white and red bands form borders with four-dot motif in some bands; three large diamonds in a row in center with four-petal flowers inside diamonds; eight looped line motifs by diamonds; looping line designs radiating out from diamond edges: single loop, half-spiral and curvy W-shaped designs with dot clusters throughout"
"Richard Wilson, Esq'r",England,18th Century,Prints,an oval portrait; man turned right and looking back of viewer; wearing turban like wrap on head of flowered material;white shirt with open collar
Holy Family,England,18th Century,Prints,Virgin at center holding Christ Child; Joseph at left and female saint at right holding John the Baptist; Baptist offering flowers to child Jesus; in a landscape
3 Dilettante Artists (The Love of Outsiders),United States,21st Century,Paintings,"large painting with dimensional elements; seated female figure in bottom center in the act of painting on a canvas, holding an artist's pallet in her lap; figure wears a red dress with lace trim, and dark ringlets in hair; second figure below seated figure, positioned on hands and knees, also painting; several smaller vignettes surround figures that are loosely enclosed in circular shapes; shadowed silhouette of a table and tea kettle resting on top, within a mauve-colored circle located in bottom left edge; small rectangular section, lavender in color with two dimensional entwined flowers; figure with short yellow hair leans in to look at another figure resembling a doll or mannequin, resting its PL hand on hip, PR arm raised with hand behind its head, nude; swirling dimensional spiral shape that is red with gold swirls above leaning figure; dimensional floral elements in center; raised pagoda surrounded by trees, enclosed in a blue circular shape in ULQ; two touching hands, with pointer fingers raised, touching a dark circle, surrounded by a circular shape in ULQ; head of figure viewed from the back side with a long dark brown braid and elaborate dimensional floral headdress, surrounded by a blue oblong shape with fuzzy yellow outline in center; rounded square shape with black and white geometric shapes, with two cut out images, one of which depicts a female face with dark hair; oval shape in URC with geisha figure in a wooded area; small mouse wearing a floral skirt, standing on top of stacked pastel blocks in center right; snowman with a thought bubble of a nude figure in center right; puppet figure with a red torso wearing a green hat, arms raised and standing in front of a table with round objects"
Awakening from a Dream,United States,20th Century,Prints,"tans, yellows, blues, greens, browns, grey and black pigments; man with wrapped braid laying barefoot on rectangular bed with head turned and eyes closed; potted palm plant, slippers with flower pattern, bottle with drinking straw and large abstract rug on wooden floor; flying black bird, arrow and exposed brick on wall; window in ULC shows erupting volcano, horned bison (?) skull and jagged edges of rock visible; grey dog or coyote-like figure with extended tail and tongue next to bed"
Carnations,United States,20th Century,Photographs,black and white; slender black cone-shaped vase with white downward-facing chevron pattern; oval dark grey shadow below vase; grey horizon line with downward gradient across image at same height as top of vase; gathered flowers (carnations) in bunch at top of vase facing many different directions; light grey/white band above horizon line
Carnations,United States,20th Century,Photographs,black and white; slender black cone-shaped vase with white diagonal stripe pattern; vase is in center of image and bottom is not visible; grey horizon line with downward gradient across image at same height as top of vase; gathered bunch of flowers (carnations) at top of vase facing many directions; light grey/white band above grey horizon line at top of image
"""Don't Fence Me In"" coat and scarf",United States,20th Century,Clothing,"knit coat and scarf; bright and dark purple, black, brown, maroon, and tan; coat: checker ombre panels on front and back; black shoulder pad linings; pocket at each side; striped side panels; black chest and sleeves with purple squares; bands of purple ombre stars on front, back and sleeves; bobbles border bands of stars and buttons; black square buttons with flowers on upper body and ends of sleeves; proper right sleeve has band reading, ""Don't fence me in / Give me land, lots of land under starry skies above"" scarf: square, striped purple, brown, black, tan, stripe with scalloped edge"
Lunar Landing,United States,21st Century,Textiles,"tan with red, off-white, and black uneven net-like fiber border; grey rectangular paper stitched in center with crosshatched flowering wave, or mountain-like shapes; large oval in lower center of paper covered with multi-directional tan stitching; tan and black fibers stitched in wavy lines across paper and fiber border to form continuous lines; one circular cutout of paper with black and gray design near URC of paper; four small circular cutouts of paper with colorful dots attached near URC of paper"
The Sabbath Now,United States,21st Century,Sculpture,"bi-level display holding wine decanter, wine cup, two loaves of challah, Kiddush cup, fruit basket, flower vase, two candles, veiled female figure holding hands to face, baby doll head with hand on top of head, and a sprawled body with a cherry attached; tray and individual components are all crocheted and hardened with resin"
Portrait of Taiso Yoshitoshi,Japan,19th Century,Prints,"seated figure wearing a black robe with small white flowers on sleeves and chest area; cream-colored under robe and blue inner sleeves; skirted bottoms that are puce in color with thin black stripes; figure holds brush in PR hand; characters/ text in upper right edge and in ULQ, as well as in lower left edge; red stamps in lower left edge of sheet, lower right edge of sheet and in center left; pale green shading in lower left edge"
White Ginger,United States,20th Century,Prints,"several white flowers with wide petals, and thin white filaments with orange tips; long broad green leaves behind flowers, with a dark blue background"
Thiaroye 1944,Senegal,21st Century,Photographs,"group of black soldiers wearing green coats, tan suede belts and red caps, all facing backward except frontmost man, who is turned 3/4 toward front; yellow flowers in foreground; certificate of authenticity in object file in Registration"
Sarira reliquary in the shape of a pavillion,Korea,8th Century,Ceremonial Objects,"small square pavilion with lotus flower at center; openwork ""railing"" with L-shaped openings; pedals around outer edge of base; canopy edged in triangular pattern with round hanging pendants at bottom of each; chains with chevron and round pendants at corners; petals around top edge and central element on canopy; shipped with dark colored wooden base"
Arthur Polonsky,Null,20th Century,Prints,colored image of a man wearing a purple vest and holding a pipe and a light bulb; man is leaning back against pink and black striped and flowered wallpaper
"Belgian Landscape (Belgische Landschaft) (recto) and The Meadow (Die Wiese) (verso), page from ""Der Bildermann""",Germany,20th Century,Prints,"page with prints on two sides--seated man and standing figure on small farm plots with buildings in background and text at top on recto; text and flowers, butterflies, and mushrooms on verso"
Flesh Wall - Female,United States,20th Century,Paintings,"Triptych; continuous scene with variously posed reclining women's bodies in a variety of colors--white pink, yellow, green, and blue; brown table with paints and a vase of flowers in LLQ, with an Afghan hound above it; rectangular inset in black and white with a woman with a long dark braid seen from back, painting flowers; swirling multicolored ground"
"Untitled (Portrait), from ""After the Fall of Hmong Tebchaw"" series",United States,21st Century,Photographs,black and white portrait of an elderly woman wearing a blouse with a large floral pattern seated among plastic flowers and foliage; received framed/unglazed
Cosmic Generator (Lettuce Variant),United States,21st Century,Digital Art,"one black ""G Drive"" moble USB labeled with a piece of masking tape that has the numers [5904] written on it, 7/16 x 5 x 3 1/4""; a short black cord that goes with the G Drive, 24"" long; a thick purple disc in a clear case (LTO-7 tape), 3/4 x 4 x 4"" PLASTIC PRODUCTS REQUIRED FOR INSTALLATION: 1 palm tree 6 plastic balls (3 green, 2 pink, 1 white) 1 multicolor ball string lights 1 green LED string lights 1 blue long stem flower 1 pink flower 1 garland"
"Untitled (Portrait), from ""After the Fall of Hmong Tebchaw"" series",United States,21st Century,Photographs,black and white photograph; portrait of an elderly woman wearing a black cardigan over a floral printed button up shirt; dangling white flowers on top edge of image; several large leaves on left edge; palm leaves along right edge; received framed/unglazed
Actor Ichikawa Danjūrō VIII as Ichiharano Kidomaru,Japan,19th Century,Prints,"man kneeling on one knee, holding a black bull hide with head (?) by the PR horn over his shoulder in his PR hand; man wearing purple robe with red and pink flowers with green leaves; green and blue ground with very large spider in ULQ"
"""Housetop"" quilt--nine-block ""Half-Log Cabin"" variation",United States,20th Century,Textiles,"pattern of radiating L shapes, squares, and rectangles; cotton and corduroy; solid white and blue and patterns with small flowers and dots and gingham; heading sleeve at top on back"
Untitled,United States,20th Century,Drawings,"recto: calendar grid at center; text overall in squares and bands; drawing of standing women at left and right edges; woman at left has brown skin, short brown hair, and wears a lacy blouse and short girdle-like pants, with flowers at her feet; woman at right, with brown hair in an updo and seen from back, is nude except for white stockings and looks over her PL shoulder verso: black painted border with rounded corners; image of linear 1950s style house with ice cream cone shaped pot on a platform at front center; two large trees; blue sky with clouds"
Visions of Times,United States,20th Century,Paintings,"two rectangular images with rounded corners in a vertical format with red painted border; roughly mirror images; each image has a curvy woman with short curly hair and large eyes wearing a pink and white leotard-like outfit, seated beside a pond with a tree and a basket of flowers; woman at left holds her PL index finger beneath her PL eye and has ""NETIA"" on her belt buckle; fish in pod on left image; woman at right holds her fist beneath her PR cheek and has ""ANN"" on her belt buckle"
Fan,China,19th Century,Accessories,"folding fan with ivory monture; paper leaf with painted motif of red flowers and blue rock on one side, figures at two tables dining outdoors on opposite side; guards carved with foliage and birds at top and pavilions with figures and foliage at bottom"
Fan,China,19th Century,Accessories,"folding fan of ivory with cream colored ribbon at top of ribs; lacy openwork design; central cartouche with monogram (MK?); carved with various Chinese figures, foliage, and pavilions; animals and flowers on top"
Fan case,China,19th Century,Accessories,"blue silk on front, yellow silk on back and top flap; embroidered with metallic gold threads in scrolling flower and foliage patterns; edged in blue and white patterned silk; green top cord"
Fan case,China,19th Century,Accessories,"light blue silk on front, black silk on back; embroidered with metallic silver threads in organic flower, fruit, and foliage design, with scroll at top on each side; edged in blue and white patterned silk; cream-colored cord with two decorative knots"
Fan case,China,19th Century,Accessories,"blue silk on one side, black silk on other side; trimmed in pink edging on one side and pink and blue edging on other side, with scallops; embroidered with scrolling foliage and flowers in predominately green and pink; orange cord"
Fan case,China,19th Century,Accessories,white silk on front embroidered with magenta foliage and flowers and gold scroll at top with red dot; orange silk on back
Fan case,China,19th Century,Accessories,pink on front with background Grecian key design and embroidered with pink flowers on green stem; pale green on back; cream colored cord
"Rinzu bedding cover (futonji) with pine, bamboo, and plum (shōchikubai) motif",Japan,19th - 20th Century,Textiles,blue silk panel with blue brocade flowers in a repeating pattern in background; branches with pink flowers throughout; tree with thick bark and curving fan-like leaves in bottom R and extends upwards toward top R; green bamboo branches behind larger tree
Fragment from a kosode,Japan,18th - 19th Century,Textiles,"silk panel; tree in orange silk applique at top center; scattered blue flowers with gold threading that outlines flowers; sections of blue and white striped curving areas at bottom, in center and at top corners"
Blue-ground child’s kimono,Japan,19th Century,Clothing,"small blue robe with off-white pattern consisting of flowers, fans, and birds throughout; off white, interior lining below collar and at back center"
"Fragment decorated with pine, plum, and chrysanthemum over stylized pine bark",Japan,19th Century,Textiles,"colorful fragment in pinks, maroon; blue, gold and red colors;; pink and gray cloud-like shapes in center; two rounded shapes with maroon and white stripes in top C; flowers in bottom R edge and in ULC, as well as LL edge"
White-ground Ryūkyūan robe (ryūso) with paired cranes pattern,Japan,19th Century,Clothing,"white robe with multicolored pattern throughout, including pink, red, and yellow birds, red, pink, white/blue, and purple flowers, and blue background patterns with multicolored crescent hills"
Yellow-ground kimono with plum pattern,Japan,19th Century,Clothing,"brown-yellow robe with black floral web-like print with red, blue, and purple five-petal flowers scattered throughout"
Farmer’s short coat (hanten) for winter,Japan,19th - 20th Century,Clothing,"blue and black coat with various patterned fabrics; black collar with gray lower lapels; black sleeves with white pattern, navy shoulders with stepped blue stitching, patterned blue chest with stepped embroidery along lower 2/3 and light blue diamond embroidery that continues to verso, solid blue lower section with stepped stritching; light blue lining on back interior; white lining on front interior sections with Japanese characters printed in black on PR and a large blue flower printed on PL; white PL sleeve interior lining with black print; verso has dark navy side panels, solid blue center panel with white pattern, stepped embroidery over all sections with light blue diamond embroidery only over TC"
"White-ground men’s festival kimono decorated with pine, bamboo, and cherry blossoms",Japan,19th - 20th Century,Clothing,"large bamboo leaves and paulowina foliage pattern; indigo round seal top back C; scattered hibiscus flowers; red, black, blue palette against off-white background"
Boy’s swordsmanship uniform (kendō-gi),Japan,20th Century,Clothing,"navy blue base with darker blue collar; off white starburst embroidery covering sleeves and shoulders, with three distinct flowers on back"
Bedding cover (futonji) or furniture cover (yutan) with crest (sangaibishi),Japan,19th Century,Textiles,"five vertical panels sewn together with crest at TC and floral imagery along bottom; at top, light blue circle around three stacked diamonds; red, gray, and tan flowers with blue leaves curl across bottom; several patches attached on verso"
Woman’s vest (sodenashi),Japan,19th - 20th Century,Clothing,"vest with three different fabrics; plaid collar in brown, green and cream colors; side strips of fabric in same plaid pattern; blue front with ornamental floral design, with small flowers and fan shapes in a gradated black with white outlines; a vertical strip of fabric in the same pattern on back center; front shoulder area and back right and left composed of a dark blue fabric with black linear designs, with foliage elements overlapping"
Bedding cover (futonji) decorated with falling cherry blossoms probably made in the Tōhoku Region,Japan,19th - 20th Century,Textiles,"four long panels stitched together; indigo-dyed fabric, with white flowers throughout; swirling white dotted lines connect flowers; gradated lighter areas of blue behind flowers"
Bedding cover (futonji) or furniture cover (yutan),Japan,19th Century,Textiles,"four vertical, navy blue panels with light blue and white imagery including white branches with petals, light blue bushes and bamboo leaves, a turtle, and a light blue crane; light blue circle at TC with five petal flower inside"
Dark blue-ground Ryūkyūan robe (ryūso) with pattern of irises in a flowing stream,Japan,19th Century,Clothing,blue robe with navy blue and white pattern; white and blue flowers alongside flowing water
Wrapping cloth (uchikui) with directional floral design,Japan,19th Century,Textiles,"three vertical panels of dark blue fabric with multicolored floral design; spotted/patterned grasses, berries, and white accents in lower quadrants, with various types of flowers on curing white stems in upper sections"
Wrapping cloth (uchikui) with circular floral design,Japan,19th Century,Textiles,"three vertical panels sewn together with circular floral design; black background with pink, orange, red, green, blue, and yellow flowers, leaves, and gray branches over a blue ring with a brown and black bird and pink flower making a smaller ring at the center"
"Light blue-ground Ryūkyūan robe (ryūso) decorated with cranes, pine trees, and cherry blossoms",Japan,19th Century,Clothing,"blue robe with red, orange, green, and black pattern; repeating pattern of 2 multicolored cranes in flight, over flowers and trees"
Light blue-ground Ryūkyūan robe (ryūso) with pine and snowflake motif,Japan,19th Century,Clothing,sky blue background with purple foliage grid pattern; magenta flowers; yellow fan-shaped blossoms; multicolored leaves
"Fragment decorated with pine, bamboo, and plum in snowflakes",Japan,19th Century,Textiles,"square fragment of light blue fabric with multicolored floral pattern; small white, pink, purple, and yellow blossoms amid curving and angular purple lines and larger red, purple, yellow, pink, and green designs of dots, leaves, and flowers"
Yellow-ground fragment with black pattern of vines,Japan,19th Century,Textiles,"trapezoid-shaped fragment of yellow fabric with black and floral pattern with tail end; pattern consists of red, purple, blue, green flowers over black vines"
"Blue-ground fragment with motif of water, plum, maple leaves, and flying geese",Japan,19th Century,Textiles,"rectangular blue fragment of fabric with black, white, and yellow pattern; yellow flower blossoms scattered throughout black birds, leaves, and waves with white accents"
Fragment decorated with peonies and latticework [from an identical pair],Japan,19th Century,Textiles,"rectangular fragment of floral patterned fabric; red and purple flowers with green, blue, black and yellow leaves and vines; bottom section of pair"
Fragment decorated with peonies and latticework [from an identical pair],Japan,19th Century,Textiles,"rectangular fragment of floral patterned fabric; red and purple flowers with green, blue, black and yellow leaves and vines; top section of pair"
Fragment with motif of green and white dots with flowers,Japan,19th Century,Textiles,"rectangular fragment of green fabric with black and white patterns in background, and red, orange, blue, purple, and white flowers overtop"
Pink-ground fragment with motif of plovers and plums,Japan,19th Century,Textiles,"rectangular fragment of pink fabric with section cut out of LL; pattern of black vines and birds, with multicolored flower blossoms (blue, red, yellow, and purple) and green birds scattered throughout"
White-ground fragment decorated with mandarin ducks and flowers,Japan,19th Century,Textiles,rectangular fragment of white fabric with river scene and floral designs; pink river curves through L and C with two ducks at C; multicolored bamboo leaves and flowers line the river bank and are scattered throughout
Pink-ground fragment decorated with wisteria and cherries,Japan,19th Century,Textiles,"trapezoid-shaped fragment of pink fabric with floral pattern; gray flowers and stems with blue, yellow, red, and green accent colors"
"Blue-ground fragment with pine, bamboo, and plum (shōchikubai) motif",Japan,19th Century,Textiles,"rectangular fragment of blue fabric with pattern; red, yellow, purple, and white flowers, white leaves and accents, and purple cranes throughout"
"Light-blue-ground fragment decorated with plum blossoms, red maple leaves, pine trees, birds, and latticework",Japan,18th - 19th Century,Textiles,"rectangular fragment of light blue fabric with geometric pattern and florals; red triangular larrice pattern over background, with white, pink, purple, and green flowers scattered throughout"
Light-blue fragment decorated with plum blossoms and open fans,Japan,19th Century,Textiles,"square fragment of light blue fabric with multicolored fan and floral pattern; yellow, red, purple, pink, and white fans, each decorated with two flowers, amid blue, pink, green, yellow, and red chains of blossoms"
"Light-blue fragment decorated with flowing water, irises, and hollyhocks",Japan,19th Century,Textiles,"square of light blue fabric with floral design; yellow, pink, and purple flowers of several varieties and green and purple grasses rise out of purple and white swirling water"
"Fragment decorated with florals, ducks, fans, and phoenix",Japan,19th Century,Textiles,"two panels of almost rectangular-shaped fragment of pink fabric with floral and bird imagery; pink, red, and purple birds floating amid red fans, yellow and pink flowers with red, green, gray, and blue leaves"
"Fragment decorated with butterflies, flowers, and grasses",Japan,19th Century,Textiles,"long, skinny rectangular piece of fabric with blue, purple, green, red, and orange pattern on white background; green, blue, and purple grasses; red, orange, and pruple flowers; blue and purple butterflies; pattern changes direction at center"
"Fragment with pine, bamboo, and plum (shōchikubai) motif",Japan,19th Century,Textiles,"rectangular fragment of multicolor fabric with landscape and floral designs; background consists of blue, red, maroon, purple, and orange clouds; pattern consists of discrete trees, bamboo leaves, flowers, and boats on water"
