File,_ - accession_number,_ - artist,_ - title,_ - country,_ - dated,_ - description,_ - id,_ - style,_ - classification
105520.json,2008.41.53,,Wall hanging,India,early 20th century,"appliqué overall in various brightly -colored solid color and printed fabrics; flower and leaf bands around edges; central Tree of Life motif on dark blue with three pairs of birds-pink, white and yellow; lappet panels at top and bottom",http://api.artsmia.org/objects/105520,20th century, Textiles
105521.json,2008.41.54,,Wall hanging,India,mid 20th century,"coarse woven tan ground with red edging; symmetrical design painted in orange, green, khaki and brown with roundels, birds, pairs of human figures, elephants and plants; flower band and lappet band at bottom; grey marks on back may be faded inscription",http://api.artsmia.org/objects/105521,20th century, Textiles
105524.json,2008.5.8,Artist: Unknown Japanese,Noh costume (nuihaku) with floral motifs,Japan,18th century,"gold ground with metallic gold grid design; embroidered leaves and flowers in green, orange, royal blue, lavender, white and deep purple",http://api.artsmia.org/objects/105524,18th century, Clothing
105525.json,2008.5.9,Artist: Unknown Japanese,Kimono (furisode) with design of a fishing village in spring,Japan,1st half of the 19th century,"blue ground with design of flowering trees, waves and houses",http://api.artsmia.org/objects/105525,19th century, Clothing
105557.json,2008.27.2,,Festival apron,China,c. 1970s,"no ties; dark blue waistband and side panels; central panel has diamond, star and flower motif embroidery in tan, black, green and lavender on cream with horizontal geometric and geometricized floral bands at bottom; knotted short tan fringe at bottom of embroidered panel",http://api.artsmia.org/objects/105557,20th century, Accessories
105563.json,2008.27.6,,Festival baby carrier,China,c. 1970s-1980s,"dark blue backing; brown trim and sides on front; blue shiny fabric with red and blue appliqués including four-sided medallion, square with triangles and five square designs in a band, all with organic leaf or flower motifs; orange embroidery around edges of five-square band; small blue bands with orange, purple and green embroidered flowers at ends of brown sides",http://api.artsmia.org/objects/105563,20th century, Textiles
105564.json,2008.27.7,,Baby carrier back panel,China,c. 1970s-1980s,padded; sides flare slightly upward to arced top; predominately blue fabric with printed design with pink flowers on back; black front with large top center flower plant with pink blooms of various kinds; four pink and red birds; spiral and flower linear designs below plant; diamond quilting at bottom,http://api.artsmia.org/objects/105564,20th century, Textiles
105587.json,2008.27.14,,Baby carrier,China,c. 1970s-1980s,blue backing on body; brown backing on straps; bronze-green shiny silk straps; primarily blue and red silk embroidery of small geometric band and larger T-shaped panel with geometricized flower-like design,http://api.artsmia.org/objects/105587,20th century, Textiles
105588.json,2008.27.15,,Baby carrier,China,c. 1970s-1980s,"small rectangular flap with radiating diamond and scroll appliqué in blue, tan, green and red with tan, purple and pink stitching on blue; top section gathered at attachment to flap; larger dark blue panel is decorated with two blue embroidered cross stitch side bands and maroon cross stitch end band; two corner squares of star or flower embroidery on maroon; central organic appliqués with embroidery--pink and maroon predominately; ties cut off",http://api.artsmia.org/objects/105588,20th century, Textiles
105589.json,2008.27.16,,Baby carrier,China,c. 1970s-1980s,"black and blue on back; blue on front; square main panel decorated with flower, bird and organic embroidery and appliqués--large central green quatrefoil shape; brown bands at sides with floral embroidery; two top bands--one cream, one orange--with people, animals and flowers; fragments of red fabric on partial ties",http://api.artsmia.org/objects/105589,20th century, Textiles
105762.json,2008.45.4,,Sleeve fragment,China,c. 1980s,"panel with dark blue borders; central area embroidered with gold and pale green threads in square flower-like motifs surrounded by linear geometric patterns; border bands with gold dots on blue, scroll band, scroll and ""H""-patterned band and striped bands",http://api.artsmia.org/objects/105762,20th century, Textiles
105763.json,2008.45.5,,Headdress,China,c. 1990s,two sections; shorter section backed with blue fabric is pieced with central pastel striped fabric bordered by white fabric printed with tiny pink and yellow flowers and embroidered bands and red floral printed fabric; longer section backed with grey and pastel woven fabrics has three brocade bands (one with metallic silver threads) and six embroidered cross stitched rectangles in predominately pinks and purples; red and white tassels with beads at one short end,http://api.artsmia.org/objects/105763,20th century, Accessories
105767.json,2008.45.9,,Headband,China,late 20th century,"black backing and ties; band of repeating birds and butterflies on flowering branches in tan, khaki, light brown, pale pink, green, purple and red-orange on black",http://api.artsmia.org/objects/105767,20th century, Accessories
105771.json,2008.45.13,,Jacket,China,c. 1980s,"shiny dark blue with dark blue lining; short sleeves; hem and sleeves trimmed with white bands embroidered in black with various flower and butterfly motifs-green, pink and blue cross-stitch band at bottom on back; three roundels on front-seven on back -with radiating lines and scrolls at center embroidered with light tan thread",http://api.artsmia.org/objects/105771,20th century, Clothing
105795.json,2010.67.75,Artist: Julian Alden Weir,Flowers in a Japanese Jar,United States,1889,flowers in a black jar,http://api.artsmia.org/objects/105795,19th century, Prints
105798.json,2008.6,,Chasuble,France,18th century,"vest-like garment with open sides; sides at back and bottom on front trimmed in looped metallic threads; green lining; pale blue and pale grey ground fabrics embroidered overall with symmetrical floral designs with large blossoms; metallic gold threads throughout; purples, pinks and mauves in flower blossoms, green and yellow foliage",http://api.artsmia.org/objects/105798,18th century, Textiles
105987.json,2008.41.56.1,,"Pillow cover, one of a pair",Egypt,20th century,"pink cotton pillow cover with cross stitch embroidery; motifs include birds, flowers and leaves in red, blue, green, orange, yellow and brown; white zipper closure on back",http://api.artsmia.org/objects/105987,20th century, Textiles
105988.json,2008.41.56.2,,"Pillow cover, one of a pair",Egypt,20th century,"pink cotton pillow cover with cross stitch embroidery; motifs include birds, flowers and leaves in red, blue, green, orange, yellow and brown; pink zipper closure on back; green flower motif, left edge center, is a different shade of green than all of the other green motifs",http://api.artsmia.org/objects/105988,20th century, Textiles
105990.json,2008.41.58,,Vest,Egypt,2000-2001,"embroidered vest; black with yellow, orange, red, blue, green, wine and pink flower-like geometric cross stitch embroidery covering entire front in horizontal stripes; back has two rows of embroidery at bottom edge",http://api.artsmia.org/objects/105990,21st century, Textiles
106009.json,2008.41.77,,Shirt,Pakistan,early-mid 20th century,"yellow; longer sleeves; keyhole opening with button closure at back of neck; embroidered overall with red flower-like medallions and purple, green and red various small designs; long red embroidered panel with heart-like and flower motifs at front; red geometric designs on shoulders",http://api.artsmia.org/objects/106009,20th century, Textiles
106011.json,2008.41.79,,Panel,Turkey,late 19th-early 20th century,"tan fabric panel embroidered at each short end with nine designs in orange, pink, blue, green, yellow, black and metallic gold and four organic designs with heart-like motifs in yellow, orange, pink, blue, green, black and metallic gold; two border bands at each end with flower-like motifs; metal pieces accent heart-motif designs",http://api.artsmia.org/objects/106011,19th-20th century, Textiles
106013.json,2008.41.81,,Child's vest,Pakistan,mid 20th century,"black vest with predominately orange and red printed lining fabrics; horizontal bands of multicolored horizontal cross stitch embroidered geometric patterns; decorated overall with buttons of various colors and styles; three pendants on PR shoulder: beaded triangle, three-sided medallion with two red beads and cluster of flower-shaped buttons on cord; zippers used as trim at arm openings, front opening and hem",http://api.artsmia.org/objects/106013,20th century, Textiles
106014.json,2008.41.82,,Hat,Pakistan,mid 20th century,"bonnet with pointed top and long sides and back; black fabric printed with red flowers at back; front and top are black with embroidered red and green geometricized flowers, trimmed with zipper and embellished with various styles of buttons and white beads; colored beads around bottom edge of pointed top of maroon printed fabric",http://api.artsmia.org/objects/106014,20th century, Textiles
106024.json,2008.41.92,,Dress,Yemen,20th century,"narrow sleeved dark blue dress embroidered with rust, light and dark aqua, pink, gray and metallic threads and gold sequins and four shell pieces; two narrow center front panels, starting at neckline, of flowered dark navy fabric and rust colored fabric; vertical lines of thread and sequins intersected by angled lines of thread and sequins on front; strip of aqua fabric and sequins at hemline of front panel; front and back of sleeves embroidered with various stitches in vertical and horizontal lines; two vertical lines of stitching on back",http://api.artsmia.org/objects/106024,20th century, Textiles
106053.json,2008.41.116,,Hat,Uzbekistan,1975,"small square-shaped hat; purple velvet with black velvet trim; red lining; four beaded flower medallions on top--blue, white, green, orange, yellow; beaded flower spray on each side",http://api.artsmia.org/objects/106053,20th century, Textiles
106054.json,2008.41.117,,Hat,Afghanistan,c. 1950,small circular dark blue hat with metallic gold embroidery; side panels--bottom band of embroidery of wave and feather pattern; top band has repeated pattern of three leaves and one sphere; crown pattern in four sections with flower design; gold embroidery has scattered flacks of orange thread throughout,http://api.artsmia.org/objects/106054,20th century, Textiles
106055.json,2008.41.118,,Hat,Afghanistan,c. 1950,"small round-shaped hat with bright multicolored (orange, green, pink, purple, light purple, gold and cream) embroidery; side panel with two narrow sections, one medium section with leaf motif and one wide (top) section with flower motif; crown pattern--three outer rows of X design and inner circle of flowers and leaves",http://api.artsmia.org/objects/106055,20th century, Textiles
106057.json,2008.41.120,,Hat,Uzbekistan,c. 1918,"small square shaped hat with small embroidered pink and brown flowers and black designs on off white embroidered background with narrow black velvet border at edge; eight sections of hat fold into four triangular sections and then into two sections; two flowers embroidered on each seam--some pink with brown centers, some brown with pink centers; black embroidery in lacy pattern with abstract curved stems and leaves for the flowers; some stem patterns are reversed with black outlining white background; some stems are solid black",http://api.artsmia.org/objects/106057,20th century, Textiles
106076.json,2008.36.1,Artist: Jean-Émile Laboureur,Une Puce,France,1913,"line drawing style; nude woman, seen from back, with red hair in a bun; sheer scarf over her shoulder; lavender stylized flower motif on wallpaper and chair(?) in LLC",http://api.artsmia.org/objects/106076,20th century, Prints
106292.json,2008.43,Artist: William Murray,Family register,United States,"February 6, 1813","large heart at center with ""Daniel Countryman"" printed in black and red; roundel with portrait of a young man wearing a black hat at top center; ten small hearts to L and R of large heart; chased flowers, swags and decorative arcs at bottom: ""Drawn BY/ WILLIAM MURRAY February 6th 1813""; handwritten text in different hands throughout, front and back",http://api.artsmia.org/objects/106292,19th century, Drawings
106323.json,2008.9,Photographer: Cy DeCosse,White Lotus,United States,2005,white lotus flower blossom; two large wavy green leaves at L and bottom; two buds at L,http://api.artsmia.org/objects/106323,21st century, Photographs
106415.json,2008.45.21,,Pair of woman's pants,China,c. 2007,batiked cotton women's dark blue trousers; deep waistband of solid blue denim-like fabric; trouser legs of dark blue with black striped fabric; bottom cuff of dark blue with white design; batiked cuff pattern with top border row of flowers and larger wavy flowered design under flower row,http://api.artsmia.org/objects/106415,20th century, Clothing
106565.json,2008.66.2,"Artist: Jaune Quick-to-See Smith; Publisher: Zanatta Editions, Shawnee, Kansas",Survival: Nature/Medicine,United States,1996,"grey images in background of Native Americans on horses, butterfly, flowers, turkey, bird, figures of various sizes and stockings; abstracted red running figure in front/foreground, left; black tree-like image at center; red and black seated figure playing a flute at right center; ""NATURE"" and ""MEDICINE"" in grey at left and right edges",http://api.artsmia.org/objects/106565,20th century, Prints
106590.json,2008.85.6,Photographer: Sheila Metzner,From Life,United States,2003,black and green; image of a Jack-in-the-pulpet-shaped flower blossom on a thick stem curving to the LLC,http://api.artsmia.org/objects/106590,21st century, Photographs
106614.json,2009.5.2,Artist: Laura Fry,Plate,United States,1899,"blue glaze on white; 1/4"" band of small flowers around rim; 1 3/4"" band decorated with sprouted onions intertwining at four points with blue lines behind; undecorated at center in 5 3/8"" diameter area",http://api.artsmia.org/objects/106614,19th century, Ceramics
106712.json,74.1.333,,Untitled,China,Date Unknown,rock center foreground surrounded by grass-like foliage and flowers; single column of calligraphy top left,http://api.artsmia.org/objects/106712,, Prints
106715.json,74.1.335,,Untitled,China,Date Unknown,Bird with long sharp blue bill on branch with blue leaves and large flower,http://api.artsmia.org/objects/106715,, Prints
106716.json,74.1.336,,Untitled,China,Date Unknown,"Bird on flowering branch; golden yellow crown, breast and tail; flowers of same yellow on branches",http://api.artsmia.org/objects/106716,, Prints
106717.json,85.12.2,Artist: Mianyi,Flower Painting,China,late 18th century,leaf from a small album of flower paintings; poinsetta-like flower at bottom center; branch with green leaves and white buds (?) along stem at left,http://api.artsmia.org/objects/106717,18th century, Paintings
106718.json,85.12.3,Artist: Mianyi,Flower Painting,China,late 18th century,leaf from a small album of flower paintings; five blooms (four red and one white) with leaves and buds,http://api.artsmia.org/objects/106718,18th century, Paintings
106740.json,"2008.109.3a,b",Artist: M. Dale Chase,Container with cover,United States,c. 1995,"lozenge-shaped, with rounded bottom and slightly domed top; carved radiating roundel at top center; dark brown exterior with swath of lighter brown on side; interior of cover and vessel carved with radiating flower-like design, with red center; small central circle of 18 karat gold on cover at inside of flower form at interior",http://api.artsmia.org/objects/106740,20th century, Woodwork
106755.json,2008.109.18,Artist: John Jordan,Vessel,United States,2000,"very small, flat, flower-shaped foot; rounded, lobed form with eight-lobed opening; textured overall with vertical incised lines; grey, very light brown and medium brown with lines and blotches; some inherent holes",http://api.artsmia.org/objects/106755,21st century, Woodwork
106779.json,2008.109.36,Artist: Dennis Stewart,Vessel,,1986,small flat disc-like base; rounded bottom with slightly outward-flaring sides; flower-like form; irregular top rim; light finish with medium brown lines and knots; three inherent knotholes,http://api.artsmia.org/objects/106779,20th century, Woodwork
106850.json,2009.15.2,Artist: Sakaida Kakiemon XIV,Plate,Japan,20th century,"ring foot; plate form with slight vertical raised rim; white with chrysanthemums and other flowers, rocks and two birds (one green, one brown) in red, blue, yellow, green and olive; red rings around foot",http://api.artsmia.org/objects/106850,20th century, Ceramics
106852.json,2009.15.4,Artist: Sakaida Kakiemon XIV,Plate,Japan,20th century,raised ring foot; vertical rim; white with two branches of red and yellow flowers with green and blue leaves; brown rim; red rings around and on foot on bottom,http://api.artsmia.org/objects/106852,20th century, Ceramics
106853.json,2009.15.5,Artist: Tokuda Yasokichi III,Vase with Brilliant Glaze,Japan,around 2000,"small Kutani flower vase; small ring foot; rounded, roughly egg-shaped lower body; long, outward-flaring thin neck; blue glaze with yellow streaks downward from shoulder",http://api.artsmia.org/objects/106853,20th century, Ceramics
106864.json,2009.15.16,Artist: Unknown Japanese,Plate,Japan,Date Unknown,"nine-sided plate on ring foot; articulated rim with indentations at corners; central design of crane and plants with very large green leaves; organic and geometric motifs on border; green, yellow, brown and purple glazes; three sprays with brown flowers and green leaves separated by small geometric cartouches on underside at rim; white ground",http://api.artsmia.org/objects/106864,, Ceramics
106977.json,2009.8.1,Artist: Nakabayashi Chikkei,The Courtier Minamoto no Nakakuni,Japan,c. 1854,"sparse landscape with one tree at center; shadowy mountain silhouettes; blue-green and brown rocks at edge of water, LLC, and at right to right of tree; tiny blue, white and yellow flowers; man wearing a black hat and blue and orange kimono, seated on horse and playing a black flute; child in red and green garment, holding sword, seen from back, with long ponytail",http://api.artsmia.org/objects/106977,19th century, Paintings
107041.json,2009.83.3,,Birds in Maize (#DW-44),United Kingdom,1967,red/ orange diamond forms with blue birds; flower pattern along short ends,http://api.artsmia.org/objects/107041,20th century, Textiles
107153.json,2009.24,Artist: Eugène Delâtre,In a Garden,France,1893,"seated woman seen from PL; woman is seated on a yellow folding chair, sewing; dark hair in a bun; woman wears blue jacket and long skirt and rests one foot on a pot filled with climbing flowers at left",http://api.artsmia.org/objects/107153,19th century, Prints
107168.json,2009.27,Artist: Louis Schanker,The Crucifixion,United States,1940s,"colorful, abstract image with large black cross at center; light blue, yellow and white figure on cross; scratched flower-like form at right edge; brown and black thinner crosses at left and right",http://api.artsmia.org/objects/107168,20th century, Drawings
107241.json,2010.99,Artist: Kehinde Wiley,Santos Dumont - The Father of Aviation II,United States,2009,"Two men lying on rocky outcrop, one on his back in a blue shirt, the other on his stomach in a white shirt; blue sky and clouds at UR. Frame: painted black with open carving of birds and flowers.",http://api.artsmia.org/objects/107241,21st century, Paintings
107260.json,2009.53.56,Artist: Achille Emile Othon Friesz,Still-Life with Flowers,France,20th century,rough sketch; flowers in center; 2 birds UL; figure at right side,http://api.artsmia.org/objects/107260,20th century, Drawings
108189.json,P.98.33.118.16,"Artist: Robert Mallet-Stevens; Publisher: Mourlot Freres, Paris","Gendarmerie, from ""Une Cite Moderne, Dessins de Rob Mallet-Stevens Architecte""",France,1987 published,"square, two level building with brown door; ""GENDARMERIE"" along top of both visible sides; wing at left has bars over windows from roof to ground; wing at right has fountain with relief masque above; balcony with flowers on roof",http://api.artsmia.org/objects/108189,20th century, Prints
108198.json,P.98.33.118.29,"Artist: Robert Mallet-Stevens; Publisher: Mourlot Freres, Paris","Magasin de nouveautés, from ""Une Cite Moderne, Dessins de Rob Mallet-Stevens Architecte""",France,1987 published,"building front with blue trim; two peaked tower-like roofs in blue; above windows first level ""LINGERIE ROBES - MANTEAU""; above entry on roof facade ""NOUVEAUTES"" on both sides of projection. on front above entry ""AMEUBLEMENTS"" and ""HABILLEMENTS""; relief masks on wither side of entry; decorative blue bowl-like objects with flowers on front",http://api.artsmia.org/objects/108198,20th century, Prints
108298.json,P.98.33.115.7,Artist: Charles Rennie Mackintosh; Artist: Margaret Macdonald Mackintosh,"Plate 6, from ""Meister der Innen: Kunst II: Charles Rennie Mackintosh Haus Eines Kunstfreundes (House for an Art Lover)""",Germany,1902,"black and white drawing; vaguely rectangular multistory building with flat roof; one peak at far left; oval section with antenna on top next; oval projection at far right; multisegmented windows in various sizes; flower-like design lower left corner of image; below image: ""C.R. MACKINTOSH. GLASGOW. HAUS EINES KUNST-FREUNDS/ VERLAGS-ANSTALT: ALEXANDER KOCH-DARMSTADT.-TAFEL VI.""; title above image with the number ""6"" at UR corner",http://api.artsmia.org/objects/108298,20th century, Prints
108300.json,2012.108,Artist: Josefina Aguilar,Expulsion from the Garden of Eden,Mexico,20th century,"sculpture depicting Garden of Eden; tree at center with devil at top and snake sliding down trunk; Adam and Eve figures, each wearing leaf covering genitalia, stand at base of tree; scenes depicting heaven and hell around tree base; angel over Adam's shoulder; various animals, plants and flowers overall; brightly painted",http://api.artsmia.org/objects/108300,20th century, Sculpture
108443.json,2009.57,Artist: Willie Cole,Anne Klein with a Baby in Transit,United States,2009,Sculptural assemblage of various types of black ladies' and girls' shoes in the form of an abstracted woman holding a baby on her lap; topmost shoe has white and gold flowers on upper,http://api.artsmia.org/objects/108443,21st century, Sculpture; Collages / Assemblages
108577.json,2009.55.1,,Man's poncho,Bolivia,20th century,"open sides; top central opening on seam for head; rust, brown and green stripes; bottom edge has four bands of multicolored flower designs; warp faced plain weave with supplementary warp weave at warp edges",http://api.artsmia.org/objects/108577,20th century, Textiles
108708.json,2009.70.1,Artist: Henri-Charles Guérard; Artist: After Édouard Manet,Double-sided Portrait of Mademoiselle Eva Gonzalès,France,1884,"two-sided print with same image on each side--slightly more detail on side with stamp and inscription; seated woman at an easel, holding palette, brushes and maul stick, at work on a framed painting; large flower on floor, LRC; woman wears white gown with dark waist sash; dark curly hair",http://api.artsmia.org/objects/108708,19th century, Prints
108796.json,2009.74.11,Artist: Giles Gilson,Incident at the Crossroads,United States,1997,"convex square base--white top, black sides; stepped stem; silver ring with red incised rings below organic flower-like element with two petal-like lobes, each with an irregular ovoid opening; open at top; pearly white exterior of ""petals"", red edges, blue interior",http://api.artsmia.org/objects/108796,20th century, Woodwork
109102.json,2010.16,Artist: Jan van Huysum,Bouquet of Flowers in a Terracotta Vase,Netherlands,1723,"large bouquet of flowers in a vase decorated with putti in relief, sitting on a ledge; other flowers on top of ledge; drawn with grid with red chalk and pencil",http://api.artsmia.org/objects/109102,18th century, Drawings
109258.json,"2011.42.1a,b",,Large Storage Jar with Cover,China,17th-18th century,large blue and white jar with overall scrolling vine and flower motif; flame-like elements at top and bottom of jar; floral and zigzag band at bottom of cover; four round medallions on shoulder with Chinese characters; cartouche at rim with four Chinese characters,http://api.artsmia.org/objects/109258,17th-18th century, Ceramics
109561.json,2010.34,Artist: Ishida Shigeko,Mother,Japan,1936,"reclining woman lying on her PR side, breastfeeding a baby in a red and orange tie-dyed kimono; woman wears a white kimono with blue flowers and holds a fan in her PL hand; view through a sheer curtain with blue band at top of screen",http://api.artsmia.org/objects/109561,20th century, Paintings
109699.json,2010.42.8,Photographer: Howard Hammitt,Jack in the Pulpit,United States,c. 1941,"black and white close-up of Jack-in-the pulpit flower; leaves at LL, LR and UL; grey background; white border; mounted to board with window mat",http://api.artsmia.org/objects/109699,20th century, Photographs
109701.json,2010.42.10,Photographer: W. Dovel LeSage,Symbols of Autumn,,c. 1938,"black and white image of still life comprised of vase with flowers, silver tray holding grapes and round silver platter standing on end in background; objects on dark table; shadow from flowers on wall at L; mounted to board",http://api.artsmia.org/objects/109701,20th century, Photographs
109717.json,2014.97.6,,Olla,United States,c. 1910-15,FJS #119; bulbous body with narrow neck; various designs on white slip; triangles with flower petals and unknown design on upper register; four large abstract figures around lower register; red clay underbody,http://api.artsmia.org/objects/109717,20th century, Ceramics
109887.json,2010.21.4,Artist: Conrad Botes,"Untitled, from ""i-jusi""",South Africa,June 2010,"cartoonish, brightly-colored image of crying horrified woman with frowning open mouth, wrinkled brow and stylized red hair, wearing pink dress; window with curtains, picture and vase of flowers in background at right; text at top: ""I-JUSI NUMBER FIFTEEN / THE PORN ISSUE""",http://api.artsmia.org/objects/109887,21st century, Prints
109891.json,2010.21.8,Artist: Pieter Hugo,"Untitled, from ""i-jusi""",South Africa,June 2010,"image of elderly man with moustache wearing grey patterned suit jacket and light blue shirt with tan and brown designs, standing in front of bush with red flowers",http://api.artsmia.org/objects/109891,21st century, Prints
109925.json,2010.59,Maker: Vincennes Porcelain Factory,De la Bouëxière Ewer,France,1753-1755,"white baluster body encased by bleu céleste foliate forms divided at the sides with curved gilt serrated edges; loop handle with a gilt foliate terminal; front painted with a butterfly at rest on a bouquet of flowers within an elaborate gilt scroll cartouche with shaped panels of diaper, seeded and hatched ornament; rim and pointed spout with a gilt dentil border",http://api.artsmia.org/objects/109925,18th century, Ceramics
110650.json,2010.82.6,,Plate,England,Date Unknown,wide rimmed plate; three figures in a landscape; tall figure on right holding flower; center figure holding (sun?) shade over tall figure; short figure at L; floral motifs around rim and between rim and bottom; geometric design around outer edge of rim,http://api.artsmia.org/objects/110650,, Ceramics
110653.json,2010.82.39,,Plate,England,c. 1740,brown ground; white on bottom; central scalloped cartouche and hexagonal cartouches alternating with organic cartouches in blue and white; flowers and bamboo stalk at center; flowers alternating with birds around rim,http://api.artsmia.org/objects/110653,18th century, Ceramics
110671.json,2010.82.41,,Fazachely plate,England,c. 1750,"defined rim; foot ring; decorated with central floral spray with yellow, purple and blue flowers; three vining floral sprays around edges of plate; pale blue ground",http://api.artsmia.org/objects/110671,18th century, Ceramics
110674.json,2010.82.48,,Plate,England,c. 1760,"plate decorated with chinoiserie still life of tall jar with flowering branch; striped exterior containing flower and vines at lower bowl; flowers with vines around rim; green leaves, blue ribbons, orange flower veins with yellow centers",http://api.artsmia.org/objects/110674,18th century, Ceramics
110681.json,2010.82.49,,Plate,England,c. 1760,flat foot; blue and white flower with yellow center fully open on top of lobed dark blue lotus root-like object at center; green grass below flower; brown flowers in grass; four branches and brown flowers around center flower; tall blue stick-like object behind flower; four flower buds around plate rim,http://api.artsmia.org/objects/110681,18th century, Ceramics
110823.json,2010.75,,Manta,United States,c.1910,"Rectangular textile with green and black bands of embroidered decoration along top edge on non-dyed, woven, plain weave. Similar bands of green and black embroidered pattern along bottom edge with five multi colored embroidered images: orange flowers at outer ends and a butterfly at center. Black tassels at each corner with 1"" wooden piece tied into each.",http://api.artsmia.org/objects/110823,, Textiles
110975.json,2010.76,,Cradleboard,United States,c.1850-1880,"back panel carved in low relief and decorated with four blue birds, four small birds in a nest, tall twining flowering vine; small bear in LRC; brightly-colored pigments; top ""handle"" carved with twisted design and painted in yellow and red; footboard painted with radiating U shapes",http://api.artsmia.org/objects/110975,19th century," Tools, Equipment and Utilitarian Objects"
110976.json,2010.82.1,,Flower holder,England,c. 1760,"brick shaped flower holder with two large square openings and nine small round openings in top; landscape on long sides has two figures at center, trees L, buildings R, mountain in distance at R; short side landscape has tree and flying birds",http://api.artsmia.org/objects/110976,18th century, Ceramics
110979.json,2010.82.4,,Bowl,England,c. 1740,"large bowl on tall ring foot; blue and white decorations with bird, flower and insect at bottom center; flower sprays at interior wall; flower and bird designs on exterior",http://api.artsmia.org/objects/110979,18th century, Ceramics
110987.json,2010.82.14,,Plate,England,1737,"octagonal plate with raised rim; center landscape shows figure at L, building at R; flowers, trees, two birds; floral and foliate design around rim; on bottom: ""ITR 1737""",http://api.artsmia.org/objects/110987,18th century, Ceramics
110992.json,2010.82.19,,Tankard,England,1728,"dark blue and white tankard with flowers and abstract designs; two large vases depicted with large floral arrangements and scalloped edges; butterflies and abstract flowers between vase designs; outward flaring, rounded foot with crisscross design; large inscription with, ""IN 1728"" surrounded by decorative designs; abstract curlicue design on handle",http://api.artsmia.org/objects/110992,18th century, Ceramics
110994.json,2010.82.8,,Posset pot,England,c. 1690,wide-bottomed pot with short ring foot; body tapers inward to short out-ward flaring neck; pair of scrolling handles; long spout attached flush to body; blue and white with bird and flower decorations on body; ring of scrolling flowers around neck,http://api.artsmia.org/objects/110994,17th century, Ceramics
111000.json,2010.82.27,,Wall pocket,England,c. 1770,horn or cornucopia shaped with flat back; molded designs of blue jay on branch with orange and yellow flowers; yellow and blue flowers around top edge; green leaves and stems,http://api.artsmia.org/objects/111000,18th century, Ceramics
111001.json,"2010.82.28.1a,b",,"Covered jar, from a three-piece garniture set",England,c. 1720,"small jar with blue and white flower design; small crooked zigzag bands around widest part of jar and around neck; top has solid blue tip, then leafy design followed by zigzag design and painted light brown edge; coiled design near bottom",http://api.artsmia.org/objects/111001,18th century, Ceramics
111002.json,2010.82.28.2,,"Vase, from a three-piece garniture set",England,c. 1720,small blue and white curved jar with wavy zigzag band design around neck; flower design over part of body with bugs and spots as rest of design; lines around waist and bottom edge; coiled design near bottom,http://api.artsmia.org/objects/111002,18th century, Ceramics
111003.json,2010.82.28.3,,"Covered jar, from a three-piece garniture set",England,c. 1720,small blue and white curved jar with wavy zigzag design around neck; flower design all the way around middle section; flower design on part of bottom section with bug and some spots as rest of design; coiled design near bottom; lines around middle and at bottom,http://api.artsmia.org/objects/111003,18th century, Ceramics
111006.json,2010.82.30,,Plate,England,1677,"plate with partial armorial inscribed, ""E P 1677""; armorial has bowl at center top, dragons L and R, face center bottom; flowers and vines around bottom between dragons",http://api.artsmia.org/objects/111006,17th century, Ceramics
111010.json,2010.82.34,,Tea caddy,England,c. 1760,"octagonal blue and white tea caddy; four sections with abstract design on side, two with floral design, one with fenced-in figure holding umbrella with trees and mountains in background, one with seated figure holding umbrella with flowers and leaves and mountains in background; floral designs on top",http://api.artsmia.org/objects/111010,18th century, Ceramics
111016.json,2010.82.42,,Posset pot,England,1715,large footed cup with two handles; landscape with man carrying buckets on a yolk; woman behind milking cow; rocks with flowers and flying bird above at R on opposite side; foliate design on handles and around base,http://api.artsmia.org/objects/111016,18th century, Ceramics
111019.json,2010.82.45,,Plate,England,1754,"plate rim decorated with scene of fisherman in each quadrant separated by fan shapes; center bottom inscribed, ""Sir in Pole for Ever 1754"" with a heart and flowers above",http://api.artsmia.org/objects/111019,18th century, Ceramics
111021.json,2010.82.47,,Reticulated basket,England,c. 1710,circular basket with openwork sides and handles along rim; rim open shapes include hearts and flowers; man standing in landscape looking at reclining bull at center; footed,http://api.artsmia.org/objects/111021,18th century, Ceramics
111029.json,2010.82.58,,Syrup jug,England,c. 1760,"bulbous footed jug with spout; on side in blue ""S. Pector"" in a cartouche; two putti with fan shape between on top of cartouche; face below with wings on either side; flowers and vines",http://api.artsmia.org/objects/111029,18th century, Ceramics
111175.json,"2010.101a,b",,Child's Moccasins,United States,1880-1890,"Both moccasins are trimmed in fur with one flower beaded in white, red, and yellow over green felt",http://api.artsmia.org/objects/111175,19th century, Accessories
111558.json,P.47.547,Engraver: Jean-Baptiste Monnoyer,Print,France,18th century,one of two prints on a single mat; boquet of flowers with each flower named,http://api.artsmia.org/objects/111558,18th century, Prints
111559.json,P.47.548,Engraver: Jean-Baptiste Monnoyer,Cahier,France,18th century,one of two prints on a single mat; boquet of flowers with flower names,http://api.artsmia.org/objects/111559,18th century, Prints
111603.json,2016.33.58,Artist: Odilon Redon,Les Anemones (Still Life with Anemones),France,c. 1900-1910,"red, white, yellow and purple flowers in multicolored vase; gold wood frame",http://api.artsmia.org/objects/111603,20th century, Paintings
