objectid,accessionnum,title,displaydate,beginyear,endyear,visualbrowsertimespan,medium,attributioninverted,attribution,classification,visualbrowserclassification,wikidataid
34874,1948.11.230,Flower Print no.1,1645,1645,1645,1601 to 1650,etching,"Cochin, Nicolas after Balthasar Moncornet",Nicolas Cochin after Balthasar Moncornet,Print,print,Q65081427
34875,1948.11.231,Flower Print no.2,1645,1645,1645,1601 to 1650,etching,"Cochin, Nicolas after Balthasar Moncornet",Nicolas Cochin after Balthasar Moncornet,Print,print,Q65081428
34876,1948.11.232,Flower Print no.3,1645,1645,1645,1601 to 1650,etching,"Cochin, Nicolas after Balthasar Moncornet",Nicolas Cochin after Balthasar Moncornet,Print,print,Q65081430
34877,1948.11.233,Flower Print no.4,1645,1645,1645,1601 to 1650,etching,"Cochin, Nicolas after Balthasar Moncornet",Nicolas Cochin after Balthasar Moncornet,Print,print,Q65081442
34878,1948.11.234,Flower Print no.5,1645,1645,1645,1601 to 1650,etching,"Cochin, Nicolas after Balthasar Moncornet",Nicolas Cochin after Balthasar Moncornet,Print,print,Q65081444
34879,1948.11.235,Flower Print no.6,1645,1645,1645,1601 to 1650,etching,"Cochin, Nicolas after Balthasar Moncornet",Nicolas Cochin after Balthasar Moncornet,Print,print,Q65081447
34880,1948.11.236,Flower Print no.7,1645,1645,1645,1601 to 1650,etching,"Cochin, Nicolas after Balthasar Moncornet",Nicolas Cochin after Balthasar Moncornet,Print,print,Q65081448
34881,1948.11.237,Flower Print no.8,1645,1645,1645,1601 to 1650,etching,"Cochin, Nicolas after Balthasar Moncornet",Nicolas Cochin after Balthasar Moncornet,Print,print,Q65081451
34882,1948.11.238,Flower Print no.9,1645,1645,1645,1601 to 1650,etching,"Cochin, Nicolas after Balthasar Moncornet",Nicolas Cochin after Balthasar Moncornet,Print,print,Q65081453
34883,1948.11.239,Flower Print no.10,1645,1645,1645,1601 to 1650,etching,"Cochin, Nicolas after Balthasar Moncornet",Nicolas Cochin after Balthasar Moncornet,Print,print,Q65081455
34884,1948.11.240,Flower Print no.11,1645,1645,1645,1601 to 1650,etching,"Cochin, Nicolas after Balthasar Moncornet",Nicolas Cochin after Balthasar Moncornet,Print,print,Q65081457
34885,1948.11.241,Flower Print no.12,1645,1645,1645,1601 to 1650,etching,"Cochin, Nicolas after Balthasar Moncornet",Nicolas Cochin after Balthasar Moncornet,Print,print,Q65081459
37532,1950.2.7,Girl with a Crown of Flowers,1784,1784,1784,1776 to 1800,etching,"Chodowiecki, Daniel Nikolaus",Daniel Nikolaus Chodowiecki,Print,print,Q65071808
39142,1950.16.207,Tete d'Enfant avec Fleurs (Head of a Child with Flowers),1897,1897,1897,1876 to 1900,lithograph,"Redon, Odilon",Odilon Redon,Print,print,Q65362967
40257,1951.10.459,Il y eut peut-etre une vision premiere essayee dans la fleur (There was perhaps a first vision attempted in the flower,1883,1883,1883,1876 to 1900,lithograph,"Redon, Odilon",Odilon Redon,Print,print,Q65363000
40226,1951.10.428,Self-Portrait VI with Flower,1909,1909,1909,1901 to 1925,etching,"Thoma, Hans",Hans Thoma,Print,print,Q65231921
41721,1952.5.106,A Garden Allegory: The Dew and Zephyr Cultivating Flowers,1683/1732,1683,1732,1651 to 1700,marble,"Massou, Benoît, Anselme Flamen, and Nicolas Rebillé","Benoît Massou, Anselme Flamen, and Nicolas Rebillé",Sculpture,sculpture,Q63809313
42504,1953.5.101,Flowers and Fruit,c. 1870,1870,1870,1851 to 1875,oil on canvas,American 19th Century,American 19th Century,Painting,painting,Q20188728
44368,1957.14.620.b,Flower and Door Knocker [reverse],c. 1441,1441,1441,1401 to 1500,bronze,Amadio da Milano,Amadio da Milano,Sculpture,sculpture,Q63847316
46260,1961.9.161,Heraldic Eagle in a Flowered Field,15th century,1400,1499,1300 to 1400,niello plate,Italian 15th Century,Italian 15th Century,Sculpture,sculpture,Q63854497
44942,1957.14.941.b,Flowering Shrub Growing through Thorns [reverse],c. 1570,1570,1570,1551 to 1600,bronze,"Galeotti, Pier Paolo",Pier Paolo Galeotti,Sculpture,sculpture,Q63851879
46573,1963.10.98,Woman with a Sunflower,c. 1905,1905,1905,1901 to 1925,oil on canvas,"Cassatt, Mary",Mary Cassatt,Painting,painting,Q20190957
45867,1958.10.2,Vase of Flowers,1900/1903,1900,1903,1876 to 1900,oil on canvas,"Cézanne, Paul",Paul Cézanne,Painting,painting,Q20190773
46622,1963.10.147,The Basket of Flowers,c. 1913/1917,1913,1917,1901 to 1925,oil on canvas,"Frieseke, Frederick Carl",Frederick Carl Frieseke,Painting,painting,Q20191721
50693,1966.13.7,Fruit and Flowers,mid 19th century,1825,1874,1801 to 1825,oil on canvas,American 19th Century,American 19th Century,Painting,painting,Q20185083
52243,1970.17.99,Vase of Flowers on a Mantelpiece,c. 1900,1900,1900,1876 to 1900,oil on cardboard,"Vuillard, Edouard",Edouard Vuillard,Painting,painting,Q20190774
52333,1970.19.9,Insects and Flowers,published 1837,1837,1837,1826 to 1850,hand-colored (?) engraving,French 19th Century,French 19th Century,Print,print,Q65507221
53304,1972.39.1,"Sunflowers, Rue des Beaux-Arts",1892/1893,1892,1893,1876 to 1900,etching and drypoint on laid paper,"Whistler, James McNeill",James McNeill Whistler,Print,print,Q65571142
55782,1976.26.2,Flowers in a Vase,c. 1700,1700,1700,1651 to 1700,oil on canvas,"Kouwenbergh, Philip van",Philip van Kouwenbergh,Painting,painting,Q20177704
56255,1977.7.1,Flowers in an Urn,c. 1720/1722,1720,1722,1701 to 1725,oil on panel,"Huysum, Jan van",Jan van Huysum,Painting,painting,Q20177790
56741,1978.80.14,Girl in Red with Flowers and a Distelfink,c. 1830,1830,1830,1826 to 1850,oil on wood (fireboard),American 19th Century,American 19th Century,Painting,painting,Q20185685
57161,1979.48.6,Ornament with Flowers,,1744,1831,1726 to 1750,etching and engraving,"Avril I, Jean-Jacques after Jean-Baptiste Pillement",Jean-Jacques Avril I after Jean-Baptiste Pillement,Print,print,Q65572239
59709,1980.45.2286,The Body of Christ being Covered with Flowersand Perfume,,1600,1699,1551 to 1600,engraving,"Le Clerc I, Sébastien, after",after Sébastien Le Clerc I,Print,print,Q74033829
59796,1980.45.2390,Sheet with Flower and Diamond Pattern,,1500,1599,1401 to 1500,woodcut,German 16th Century,German 16th Century,Print,print,Q74034135
59797,1980.45.2391,Sheet with Flower and Diamond Pattern,,1500,1599,1401 to 1500,woodcut,German 16th Century,German 16th Century,Print,print,Q74034140
59802,1980.45.2396,Sheet with Flower and Diamond Pattern,,1500,1599,1401 to 1500,woodcut,German 16th Century,German 16th Century,Print,print,Q74034167
59803,1980.45.2397,Sheet with Flower and Diamond Pattern,,1500,1599,1401 to 1500,woodcut,German 16th Century,German 16th Century,Print,print,Q74034170
59937,1980.62.43,Basket of Fruit with Flowers,c. 1830,1830,1830,1826 to 1850,oil on wood,American 19th Century,American 19th Century,Painting,painting,Q20185672
60679,1981.21.1,A Nude Model Arranging Flowers,c. 1892,1887,1897,1876 to 1900,lithograph in black on laid paper,"Whistler, James McNeill",James McNeill Whistler,Print,print,Q74036507
61382,1983.1.32,Flowers in a Vase,c. 1866,1866,1866,1851 to 1875,oil on canvas,"Renoir, Auguste",Auguste Renoir,Painting,painting,Q20188678
62532,1983.54.1,Pagoda Flowers and Roses,,1728,1808,1726 to 1750,black and red chalk on laid paper,"Pillement, Jean-Baptiste",Jean-Baptiste Pillement,Drawing,drawing,Q64581179
62533,1983.54.2,Bamboo Flowers and Cactus,,1728,1808,1726 to 1750,black and red chalk on laid paper,"Pillement, Jean-Baptiste",Jean-Baptiste Pillement,Drawing,drawing,Q64581180
62534,1983.54.3,Trumpet Flowers and Daisies,,1728,1808,1726 to 1750,black and red chalk on laid paper,"Pillement, Jean-Baptiste",Jean-Baptiste Pillement,Drawing,drawing,Q64581181
65739,1985.1.23,Lady Picking Flowers,c. 1890,1885,1895,1876 to 1900,pen and black ink over graphite,"Burne-Jones, Edward Coley, Sir",Sir Edward Coley Burne-Jones,Drawing,drawing,Q64631829
66252,1985.60.2,Fantastic Flowers with Oyster-shell Blossoms,c. 1795,1765,1770,1751 to 1775,"etching inked à la poupée in green, blue, red, purple, golden brown, and yellow on pale green wove paper","Allen, Anne after Jean-Baptiste Pillement",Anne Allen after Jean-Baptiste Pillement,Print,print,Q74069618
66251,1985.60.1,Fantastic Flowers with Peapod Leaves,1795,1765,1770,1751 to 1775,"etching inked à la poupée in green, red, blue, purple, and golden brown on pale green paper","Allen, Anne after Jean-Baptiste Pillement",Anne Allen after Jean-Baptiste Pillement,Print,print,Q74069598
69671,1987.20.5.11,"Plate 10: Brown Hairstreak, Silver-Washed Fritillary, and Clouded Yellow Butterflies on a Four-o'-Clock Flower",c. 1575/1580,1575,1580,1551 to 1600,"watercolor and gouache, with oval border in gold, on vellum","Hoefnagel, Joris",Joris Hoefnagel,Drawing,drawing,Q64584525
69696,1987.20.5.34,Plate 33: Moth and Butterfly with other Insects and a Columbine Flower,c. 1575/1580,1575,1580,1551 to 1600,"watercolor and gouache, with oval border in gold, on vellum","Hoefnagel, Joris",Joris Hoefnagel,Drawing,drawing,Q64590772
69706,1987.20.5.43,Plate 42: Jewel Beetle with a Rosary Pea and a Flower (Oleander?),c. 1575/1580,1575,1580,1551 to 1600,"watercolor and gouache, with oval border in gold, on vellum","Hoefnagel, Joris",Joris Hoefnagel,Drawing,drawing,Q64590783
69711,1987.20.5.48,"Plate 47: A Dragonfly (Banded Darter?), Grasshopper, Houseflies, a Carrion Beetle, a Flower Longhorn Beetle, and Other Insects",c. 1575/1580,1575,1580,1551 to 1600,"watercolor and gouache, with oval border in gold, on vellum","Hoefnagel, Joris",Joris Hoefnagel,Drawing,drawing,Q64590789
69715,1987.20.5.51,"Plate 50: Grasshoppers, a Caterpillar, and a Scale Insect with a Four O'Clock Flower",c. 1575/1580,1575,1580,1551 to 1600,"watercolor and gouache, with oval border in gold, on vellum","Hoefnagel, Joris",Joris Hoefnagel,Drawing,drawing,Q64590793
69716,1987.20.5.52,Plate 51: Grasshoppers and a Caterpillar with a Four O'Clock Flower,c. 1575/1580,1575,1580,1551 to 1600,"watercolor and gouache, with oval border in gold, on vellum","Hoefnagel, Joris",Joris Hoefnagel,Drawing,drawing,Q64590794
69744,1987.20.5.78,"Plate 77: Dotted Bee Fly with a White Flower, a Mayfly,  a Blue Weevil, and Other Insects",c. 1575/1580,1575,1580,1551 to 1600,"watercolor and gouache, with oval border in gold, on vellum","Hoefnagel, Joris",Joris Hoefnagel,Drawing,drawing,Q64590824
70175,1987.57.4,Flowering Plant with Grass,mid 1760s,1762,1767,1751 to 1775,red chalk with wash on laid paper,"Hüet, Jean-Baptiste, I","Jean-Baptiste Hüet, I",Drawing,drawing,Q64581138
70176,1987.57.5,Flowering Plant with Buds,mid 1760s,1762,1767,1751 to 1775,red chalk on laid paper,"Hüet, Jean-Baptiste, I","Jean-Baptiste Hüet, I",Drawing,drawing,Q64581139
69892,1987.20.8.17,Plate 16: Gray Heron and Purple Heron(?)  with a Sunflower,c. 1575/1580,1575,1580,1551 to 1600,"watercolor and gouache, with oval border in gold, on vellum","Hoefnagel, Joris",Joris Hoefnagel,Drawing,drawing,Q64590974
69922,1987.20.8.44,Plate 43: Sandpipers and Other Shore Birds Admiring a Garland of Flowers,c. 1575/1580,1575,1580,1551 to 1600,"watercolor and gouache, with oval border in gold, on vellum","Hoefnagel, Joris",Joris Hoefnagel,Drawing,drawing,Q64591004
71556,1990.64.1,Large Vase with Flowers,c. 1912,1912,1912,1901 to 1925,oil on canvas,"Redon, Odilon",Odilon Redon,Painting,painting,Q20191644
72327,1991.66.1,Fan with Wildflowers and Butterflies against the Norman Coast,c. 1875,1875,1875,1851 to 1875,gouache with gold highlights over graphite on silk; laid down on paper,"Buhot, Félix-Hilaire",Félix-Hilaire Buhot,Drawing,drawing,Q64561302
76208,1992.51.2,Basket of Flowers,c. 1622,1622,1622,1601 to 1650,oil on panel,"Ast, Balthasar van der",Balthasar van der Ast,Painting,painting,Q19862869
76211,1992.51.5,A Hanging Bouquet of Flowers,probably 1665/1670,1665,1670,1651 to 1700,oil on panel,"Mignon, Abraham",Abraham Mignon,Painting,painting,Q20177603
76212,1992.51.7,Flowers in a Basket and a Vase,1615,1615,1615,1601 to 1650,oil on panel,"Brueghel the Elder, Jan",Jan Brueghel the Elder,Painting,painting,Q20176940
76253,1992.51.9.hh,Branch in Flower,1886/1889,1886,1889,1876 to 1900,graphite on wove paper,"Cézanne, Paul",Paul Cézanne,Drawing,drawing,Q64618888
86050,2006.11.41,A Fool Feeding Flowers to Swine [fol. 42 recto],c. 1512/1515,1512,1515,1501 to 1550,pen and brown ink with watercolor on laid paper,French early 16th Century,French early 16th Century,Drawing,drawing,Q64570837
92067,1995.24.3.b,Study of a Flower [verso],1890/1897,1890,1897,1876 to 1900,graphite on tan wove paper,"Pearce, Charles Sprague",Charles Sprague Pearce,Drawing,drawing,Q64538861
93015,1995.47.37,Flowers,1843,1843,1843,1826 to 1850,"watercolor, gouache, and black chalk, over charcoal on light brown wove paper; laid down","Delacroix, Eugène",Eugène Delacroix,Drawing,drawing,Q64560451
106787,2003.140.1,Garland of Flowers with Adoration of the Shepherds,c. 1625/1630,1625,1630,1601 to 1650,oil on copper,"Francken the Younger, Frans and Master HDB",Frans Francken the Younger and Master HDB,Painting,painting,Q20177042
109880,2011.60.47,Vase of Flowers,1900/1901,1900,1901,1876 to 1900,graphite on laid paper,"Vuillard, Edouard",Edouard Vuillard,Drawing,drawing,Q64556986
111613,2000.9.14,A Young Girl Wearing a Flowered Hat,,1700,1799,1651 to 1700,red chalk on light beige laid paper,French 18th Century,French 18th Century,Drawing,drawing,Q64570791
121917,2001.148.2,Fanciful Flowers and Bugs,,1728,1808,1726 to 1750,black and red chalk on laid paper,"Pillement, Jean-Baptiste",Jean-Baptiste Pillement,Drawing,drawing,Q64581183
127554,2003.38.1,Vase of Flowers,1875,1875,1875,1851 to 1875,oil on canvas,"Lambdin, George Cochran",George Cochran Lambdin,Painting,painting,Q20188805
130967,2004.109.20,Nude and Fish with Flowers (Study for etched bathroom window),c.1900,1890,1910,1876 to 1900,pen and brown ink with graphite on paper,"Masek, Karel Vitezslav",Karel Vitezslav Masek,Drawing,drawing,Q64591852
131715,2004.162.25,Flowers (Fleurs),1894,1894,1894,1876 to 1900,drypoint on laid paper,"Duez, Ernest-Ange",Ernest-Ange Duez,Print,print,Q76339044
132371,2005.52.4,Fruit and Flowers,1860,1860,1860,1851 to 1875,albumen print,"Fenton, Roger",Roger Fenton,Photograph,photograph,Q64170555
137723,2007.29.14,The Sunflower,early 1870s,1870,1870,1851 to 1875,albumen print,"Cameron, Julia Margaret",Julia Margaret Cameron,Photograph,photograph,Q64156133
137898,2007.125.1,Floral Still Life with a Sunflower,c. 1690,1660,1731,1651 to 1700,mezzotint on laid paper,"Heiss, Elias Christoph",Elias Christoph Heiss,Print,print,Q76338688
138791,2007.81.2,A Basket of Spring Flowers,c. 1680,1680,1680,1651 to 1700,etching and engraving on laid paper,"Monnoyer, Jean-Baptiste",Jean-Baptiste Monnoyer,Print,print,Q76438646
140507,2008.44.1,Huit Études et compositions de fleurs (Eight Studies and Compositions of Flowers),1862,1862,1862,1851 to 1875,complete bound set of eight etchings on cream laid paper,"Jacquemart, Jules-Ferdinand",Jules-Ferdinand Jacquemart,Volume,volume,
143791,2009.70.36,Calligraphic Flowers,,1700,1800,1651 to 1700,pen and brown and iron gall ink with watercolor on laid paper,"Bernard, Jean-Joseph called Bernard de Paris",Jean-Joseph Bernard called Bernard de Paris,Drawing,drawing,Q64581256
152323,2013.100.4,Sunflowers,1892,1892,1892,1876 to 1900,pen and brush and black ink,"Lemmen, Georges",Georges Lemmen,Drawing,drawing,Q64571664
154063,2011.29.1,A Girl on Her Deathbed with a Crown of Flowers,1882,1882,1882,1876 to 1900,"black chalk and white chalk on brown paper, in original green leather folding frame","Bendemann, Eduard Julius Friedrich",Eduard Julius Friedrich Bendemann,Drawing,drawing,Q64557000
154384,2012.92.727,Girl with Flowers,1923,1923,1923,1901 to 1925,etching on coated paper,"Kirchner, Ernst Ludwig",Ernst Ludwig Kirchner,Print,print,Q76557776
155543,2011.74.1,Bouquet of Spring Flowers in a Terracotta Vase,1720s,1720,1729,1701 to 1725,oiled charcoal and watercolor on laid paper,"Huysum, Jan van",Jan van Huysum,Drawing,drawing,Q64580786
164914,2014.18.6,"Gathering Flowers, Shinnecock, Long Island",c. 1897,1892,1902,1876 to 1900,pastel on canvas,"Chase, William Merritt",William Merritt Chase,Drawing,drawing,Q64638683
164946,2014.18.36,Spray of Flowers and Ferns,date unknown,1799,1885,1776 to 1800,oil on metal,"Peale, Titian Ramsay",Titian Ramsay Peale,Painting,painting,Q20180444
166469,2014.136.84,"Still Life, Flowers, and Fruit",1848,1848,1848,1826 to 1850,oil on canvas,"Roesen, Severin",Severin Roesen,Painting,painting,Q46627615
166556,2014.79.105,"Plate Number 53. Walking, scattering flowers and turning around",1887,1887,1887,1876 to 1900,collotype,"Muybridge, Eadweard",Eadweard Muybridge,Photograph,photograph,
176745,2015.19.3884,"Candlestick, Cup Form, with Arabesques, Bell Flowers, Owls, and Panthers' Heads","model n.d., cast 1845/1874",1845,1874,1826 to 1850,bronze,"Barye, Antoine-Louis",Antoine-Louis Barye,Sculpture,sculpture,Q63863573
184833,2015.19.581,Flowering Bush and Desert Plants,19th century,1800,1900,1776 to 1800,graphite with gouache on wove paper,American 19th Century after John Frederick Kensett,American 19th Century after John Frederick Kensett,Drawing,drawing,Q64534855
204069,2013.174.9,Ornamental Panel Surmounted by a Basket of Flowers with Cupid and Hymen,1647,1647,1647,1601 to 1650,etching with engraving on laid paper,"Dorigny, Michel, Simon Vouet","Michel Dorigny, after Simon Vouet",Print,print,Q77015690
204071,2013.174.11,Ornamental Panel Surmounted by a Basket of Flowers and a Garland,1647,1647,1647,1601 to 1650,etching with engraving on laid paper,"Dorigny, Michel, Simon Vouet","Michel Dorigny, after Simon Vouet",Print,print,Q77015694
222886,1961.9.173.2,"Seated Woman Facing Left, Holding a Flowering Branch",late 15th/early 16th century,1475,1525,1401 to 1500,niello plate,"Bolognese 15th/16th Century, Probably",Probably Bolognese 15th/16th Century,Sculpture,sculpture,
212227,2018.7.24,Flowers,c. 1860,1855,1865,1851 to 1875,albumen print,"Drummond, David Thomas Kerr Reverend",Reverend David Thomas Kerr Drummond,Photograph,photograph,Q64158931
214111,2018.44.1,Flowers in a Cut Glass Vase,185[?],1850,1859,1826 to 1850,oil on canvas,"Babcock, William Perkins",William Perkins Babcock,Painting,painting,Q63118836
214137,2018.44.22,"Buddha's Flowers: Lotus, Tokyo",1894,1894,1894,1876 to 1900,oil on board,"Wores, Theodore",Theodore Wores,Painting,painting,Q63120875
214164,2018.44.44,Flowers in a Pitcher,1870s,1870,1879,1851 to 1875,watercolor on brown wove paper,"Bridges, Fidelia",Fidelia Bridges,Drawing,drawing,Q64561468
46299,1961.12.1,Wildflowers,c. 1905,1905,1905,1901 to 1925,pastel on brown wove paper coated with sawdust,"Redon, Odilon",Odilon Redon,Drawing,drawing,Q64618523
46097,1961.6.1,Vase of Flowers,c. 1660,1660,1660,1651 to 1700,oil on canvas,"Heem, Jan Davidsz de",Jan Davidsz de Heem,Painting,painting,Q20177562
46580,1963.10.105,Flowers in a Rococo Vase,c. 1876,1876,1876,1876 to 1900,oil on canvas,"Cézanne, Paul",Paul Cézanne,Painting,painting,Q20188813
46656,1963.10.181,Jerusalem Artichoke Flowers,1880,1880,1880,1876 to 1900,oil on canvas,"Monet, Claude",Claude Monet,Painting,painting,Q20188861
52181,1970.17.37,Flowers in a Crystal Vase,c. 1882,1882,1882,1876 to 1900,oil on canvas,"Manet, Edouard",Edouard Manet,Painting,painting,Q20189487
52205,1970.17.61,Picking Flowers,1875,1875,1875,1851 to 1875,oil on canvas,"Renoir, Auguste",Auguste Renoir,Painting,painting,Q20188794
61371,1983.1.21,Flower Beds in Holland,c. 1883,1883,1883,1876 to 1900,oil on canvas on wood,"Gogh, Vincent van",Vincent van Gogh,Painting,painting,Q4987244
70319,1988.12.1,A Bouquet of Flowers with Insects,,1759,1840,1751 to 1775,watercolor over traces of graphite with gold on vellum; laid down,"Redouté, Pierre Joseph",Pierre Joseph Redouté,Drawing,drawing,Q64619619
94743,1996.35.1,Bouquet of Flowers in a Glass Vase,1621,1621,1621,1601 to 1650,oil on copper,"Bosschaert, Ambrosius",Ambrosius Bosschaert,Painting,painting,Q20177006
96655,1996.80.1,Still Life with Flowers and Fruit,c. 1715,1715,1715,1701 to 1725,oil on panel,"Huysum, Jan van",Jan van Huysum,Painting,painting,Q20177776
131947,2005.26.1,Woman Weaving a Crown of Flowers,c. 1675/1680,1675,1680,1651 to 1700,oil on panel,"Schalcken, Godefridus",Godefridus Schalcken,Painting,painting,Q20177665
157922,2012.89.1,Gathering Autumn Flowers,1894/1895,1894,1895,1876 to 1900,oil on canvas,"Chase, William Merritt",William Merritt Chase,Painting,painting,Q20190419
166460,2014.79.25,Flowers on a Window Ledge,c. 1861,1856,1866,1851 to 1875,oil on canvas,"La Farge, John",John La Farge,Painting,painting,Q20188371
217102,2018.144.1,Still Life with Flowers Surrounded by Insects and a Snail,c. 1610,1610,1610,1601 to 1650,oil on copper,"Peeters, Clara",Clara Peeters,Painting,painting,Q58690437
220337,2020.14.1,"Still Life with Flowers, Grapes, and Small Game Birds",c. 1615,1615,1615,1601 to 1650,oil on panel,"Snyders, Frans",Frans Snyders,Painting,painting,Q108686483
