Title,Period,Country,Classification,Description
"Hours of Queen Isabella the Catholic, Queen of Spain:  Fol. 203v",16th Century,Belgium,Books,"This manuscript was illuminated by a circle of at least five highly organized manuscript painters active in the Flemish cities of Ghent and Bruges. The principal illuminator was Alexander Bening, who painted the majority of the book's miniatures. Manuscripts produced by this circle of artists are renowned for the decoration of their borders, which typically feature a rich variety of realistically-painted flowers, birds, and butterflies. This prayer book, called a book of hours, was intended not for a cleric, but for the private devotions of a lay person-in this case, Isabella the Catholic, Queen of Spain (1451-1504). Isabella's coat of arms embellishes the book's frontispiece. It is unlikely that the book was commissioned by the Queen herself; rather, she probably received it as a diplomatic gift from someone courting her patronage, perhaps Cardinal Francisco Jimenez de Cisneros. A Franciscan friar, Jimenez was dependent upon Isabella for his advancement, first to the post of Queen's confessor in 1492, and then to Archbishop of Toledo in 1495."
"Hours of Queen Isabella the Catholic, Queen of Spain:  Fol. 208v",16th Century,Belgium,Books,"This manuscript was illuminated by a circle of at least five highly organized manuscript painters active in the Flemish cities of Ghent and Bruges. The principal illuminator was Alexander Bening, who painted the majority of the book's miniatures. Manuscripts produced by this circle of artists are renowned for the decoration of their borders, which typically feature a rich variety of realistically-painted flowers, birds, and butterflies. This prayer book, called a book of hours, was intended not for a cleric, but for the private devotions of a lay person-in this case, Isabella the Catholic, Queen of Spain (1451-1504). Isabella's coat of arms embellishes the book's frontispiece. It is unlikely that the book was commissioned by the Queen herself; rather, she probably received it as a diplomatic gift from someone courting her patronage, perhaps Cardinal Francisco Jimenez de Cisneros. A Franciscan friar, Jimenez was dependent upon Isabella for his advancement, first to the post of Queen's confessor in 1492, and then to Archbishop of Toledo in 1495."
"Hours of Queen Isabella the Catholic, Queen of Spain:  Fol. 210r",16th Century,Belgium,Books,"This manuscript was illuminated by a circle of at least five highly organized manuscript painters active in the Flemish cities of Ghent and Bruges. The principal illuminator was Alexander Bening, who painted the majority of the book's miniatures. Manuscripts produced by this circle of artists are renowned for the decoration of their borders, which typically feature a rich variety of realistically-painted flowers, birds, and butterflies.
This prayer book, called a book of hours, was intended not for a cleric, but for the private devotions of a lay person-in this case, Isabella the Catholic, Queen of Spain (1451-1504). Isabella's coat of arms embellishes the book's frontispiece. It is unlikely that the book was commissioned by the Queen herself; rather, she probably received it as a diplomatic gift from someone courting her patronage, perhaps Cardinal Francisco Jimenez de Cisneros. A Franciscan friar, Jimenez was dependent upon Isabella for his advancement, first to the post of Queen's confessor in 1492, and then to Archbishop of Toledo in 1495."
"Hours of Queen Isabella the Catholic, Queen of Spain:  Fol. 226r",16th Century,Belgium,Books,"This manuscript was illuminated by a circle of at least five highly organized manuscript painters active in the Flemish cities of Ghent and Bruges. The principal illuminator was Alexander Bening, who painted the majority of the book's miniatures. Manuscripts produced by this circle of artists are renowned for the decoration of their borders, which typically feature a rich variety of realistically-painted flowers, birds, and butterflies. This prayer book, called a book of hours, was intended not for a cleric, but for the private devotions of a lay person-in this case, Isabella the Catholic, Queen of Spain (1451-1504). Isabella's coat of arms embellishes the book's frontispiece. It is unlikely that the book was commissioned by the Queen herself; rather, she probably received it as a diplomatic gift from someone courting her patronage, perhaps Cardinal Francisco Jimenez de Cisneros. A Franciscan friar, Jimenez was dependent upon Isabella for his advancement, first to the post of Queen's confessor in 1492, and then to Archbishop of Toledo in 1495."
"Hours of Queen Isabella the Catholic, Queen of Spain:  Fol. 232v",16th Century,Belgium,Books,"This manuscript was illuminated by a circle of at least five highly organized manuscript painters active in the Flemish cities of Ghent and Bruges. The principal illuminator was Alexander Bening, who painted the majority of the book's miniatures. Manuscripts produced by this circle of artists are renowned for the decoration of their borders, which typically feature a rich variety of realistically-painted flowers, birds, and butterflies. This prayer book, called a book of hours, was intended not for a cleric, but for the private devotions of a lay person-in this case, Isabella the Catholic, Queen of Spain (1451-1504). Isabella's coat of arms embellishes the book's frontispiece. It is unlikely that the book was commissioned by the Queen herself; rather, she probably received it as a diplomatic gift from someone courting her patronage, perhaps Cardinal Francisco Jimenez de Cisneros. A Franciscan friar, Jimenez was dependent upon Isabella for his advancement, first to the post of Queen's confessor in 1492, and then to Archbishop of Toledo in 1495."
"Hours of Queen Isabella the Catholic, Queen of Spain:  Fol. 251v",16th Century,Belgium,Books,"This manuscript was illuminated by a circle of at least five highly organized manuscript painters active in the Flemish cities of Ghent and Bruges. The principal illuminator was Alexander Bening, who painted the majority of the book's miniatures. Manuscripts produced by this circle of artists are renowned for the decoration of their borders, which typically feature a rich variety of realistically-painted flowers, birds, and butterflies. This prayer book, called a book of hours, was intended not for a cleric, but for the private devotions of a lay person-in this case, Isabella the Catholic, Queen of Spain (1451-1504). Isabella's coat of arms embellishes the book's frontispiece. It is unlikely that the book was commissioned by the Queen herself; rather, she probably received it as a diplomatic gift from someone courting her patronage, perhaps Cardinal Francisco Jimenez de Cisneros. A Franciscan friar, Jimenez was dependent upon Isabella for his advancement, first to the post of Queen's confessor in 1492, and then to Archbishop of Toledo in 1495."
"Hours of Queen Isabella the Catholic, Queen of Spain:  Fol. 252v",16th Century,Belgium,Books,"This manuscript was illuminated by a circle of at least five highly organized manuscript painters active in the Flemish cities of Ghent and Bruges. The principal illuminator was Alexander Bening, who painted the majority of the book's miniatures. Manuscripts produced by this circle of artists are renowned for the decoration of their borders, which typically feature a rich variety of realistically-painted flowers, birds, and butterflies. This prayer book, called a book of hours, was intended not for a cleric, but for the private devotions of a lay person-in this case, Isabella the Catholic, Queen of Spain (1451-1504). Isabella's coat of arms embellishes the book's frontispiece. It is unlikely that the book was commissioned by the Queen herself; rather, she probably received it as a diplomatic gift from someone courting her patronage, perhaps Cardinal Francisco Jimenez de Cisneros. A Franciscan friar, Jimenez was dependent upon Isabella for his advancement, first to the post of Queen's confessor in 1492, and then to Archbishop of Toledo in 1495."
"Hours of Queen Isabella the Catholic, Queen of Spain:  Fol. 3r, February",16th Century,Belgium,Books,"This manuscript was illuminated by a circle of at least five highly organized manuscript painters active in the Flemish cities of Ghent and Bruges. The principal illuminator was Alexander Bening, who painted the majority of the book's miniatures. Manuscripts produced by this circle of artists are renowned for the decoration of their borders, which typically feature a rich variety of realistically painted flowers, birds, and butterflies. This prayer book, called a book of hours, was intended not for a cleric but for the private devotions of a lay person—in this case, Isabella the Catholic, Queen of Spain (1451–1504); her coat of arms embellishes the book's frontispiece. It is unlikely that the book was commissioned by the Queen herself; rather, she probably received it as a diplomatic gift from someone courting her patronage, perhaps Cardinal Francisco Jimenez de Cisneros. A Franciscan friar, Jimenez was dependent upon Isabella for his advancement, first to the post of Queen's confessor in 1492, and then to Archbishop of Toledo in 1495."
"Hours of Queen Isabella the Catholic, Queen of Spain:  Fol. 3v, February",16th Century,Belgium,Books,"This manuscript was illuminated by a circle of at least five highly organized manuscript painters active in the Flemish cities of Ghent and Bruges. The principal illuminator was Alexander Bening, who painted the majority of the book's miniatures. Manuscripts produced by this circle of artists are renowned for the decoration of their borders, which typically feature a rich variety of realistically painted flowers, birds, and butterflies. This prayer book, called a book of hours, was intended not for a cleric but for the private devotions of a lay person—in this case, Isabella the Catholic, Queen of Spain (1451–1504); her coat of arms embellishes the book's frontispiece. It is unlikely that the book was commissioned by the Queen herself; rather, she probably received it as a diplomatic gift from someone courting her patronage, perhaps Cardinal Francisco Jimenez de Cisneros. A Franciscan friar, Jimenez was dependent upon Isabella for his advancement, first to the post of Queen's confessor in 1492, and then to Archbishop of Toledo in 1495."
"Hours of Queen Isabella the Catholic, Queen of Spain:  Fol. 4v, March",16th Century,Belgium,Books,"This manuscript was illuminated by a circle of at least five highly organized manuscript painters active in the Flemish cities of Ghent and Bruges. The principal illuminator was Alexander Bening, who painted the majority of the book's miniatures. Manuscripts produced by this circle of artists are renowned for the decoration of their borders, which typically feature a rich variety of realistically painted flowers, birds, and butterflies. This prayer book, called a book of hours, was intended not for a cleric but for the private devotions of a lay person—in this case, Isabella the Catholic, Queen of Spain (1451–1504); her coat of arms embellishes the book's frontispiece. It is unlikely that the book was commissioned by the Queen herself; rather, she probably received it as a diplomatic gift from someone courting her patronage, perhaps Cardinal Francisco Jimenez de Cisneros. A Franciscan friar, Jimenez was dependent upon Isabella for his advancement, first to the post of Queen's confessor in 1492, and then to Archbishop of Toledo in 1495."
"Hours of Queen Isabella the Catholic, Queen of Spain:  Fol. 54v",16th Century,Belgium,Books,"This manuscript was illuminated by a circle of at least five highly organized manuscript painters active in the Flemish cities of Ghent and Bruges. The principal illuminator was Alexander Bening, who painted the majority of the book's miniatures. Manuscripts produced by this circle of artists are renowned for the decoration of their borders, which typically feature a rich variety of realistically-painted flowers, birds, and butterflies. This prayer book, called a book of hours, was intended not for a cleric, but for the private devotions of a lay person-in this case, Isabella the Catholic, Queen of Spain (1451-1504). Isabella's coat of arms embellishes the book's frontispiece. It is unlikely that the book was commissioned by the Queen herself; rather, she probably received it as a diplomatic gift from someone courting her patronage, perhaps Cardinal Francisco Jimenez de Cisneros. A Franciscan friar, Jimenez was dependent upon Isabella for his advancement, first to the post of Queen's confessor in 1492, and then to Archbishop of Toledo in 1495."
"Hours of Queen Isabella the Catholic, Queen of Spain:  Fol. 58r",16th Century,Belgium,Books,"This manuscript was illuminated by a circle of at least five highly organized manuscript painters active in the Flemish cities of Ghent and Bruges. The principal illuminator was Alexander Bening, who painted the majority of the book's miniatures. Manuscripts produced by this circle of artists are renowned for the decoration of their borders, which typically feature a rich variety of realistically-painted flowers, birds, and butterflies. This prayer book, called a book of hours, was intended not for a cleric, but for the private devotions of a lay person-in this case, Isabella the Catholic, Queen of Spain (1451-1504). Isabella's coat of arms embellishes the book's frontispiece. It is unlikely that the book was commissioned by the Queen herself; rather, she probably received it as a diplomatic gift from someone courting her patronage, perhaps Cardinal Francisco Jimenez de Cisneros. A Franciscan friar, Jimenez was dependent upon Isabella for his advancement, first to the post of Queen's confessor in 1492, and then to Archbishop of Toledo in 1495."
"Hours of Queen Isabella the Catholic, Queen of Spain:  Fol. 63v",16th Century,Belgium,Books,"This manuscript was illuminated by a circle of at least five highly organized manuscript painters active in the Flemish cities of Ghent and Bruges. The principal illuminator was Alexander Bening, who painted the majority of the book's miniatures. Manuscripts produced by this circle of artists are renowned for the decoration of their borders, which typically feature a rich variety of realistically-painted flowers, birds, and butterflies. This prayer book, called a book of hours, was intended not for a cleric, but for the private devotions of a lay person-in this case, Isabella the Catholic, Queen of Spain (1451-1504). Isabella's coat of arms embellishes the book's frontispiece. It is unlikely that the book was commissioned by the Queen herself; rather, she probably received it as a diplomatic gift from someone courting her patronage, perhaps Cardinal Francisco Jimenez de Cisneros. A Franciscan friar, Jimenez was dependent upon Isabella for his advancement, first to the post of Queen's confessor in 1492, and then to Archbishop of Toledo in 1495."
"Hours of Queen Isabella the Catholic, Queen of Spain:  Fol. 68r",16th Century,Belgium,Books,"This manuscript was illuminated by a circle of at least five highly organized manuscript painters active in the Flemish cities of Ghent and Bruges. The principal illuminator was Alexander Bening, who painted the majority of the book's miniatures. Manuscripts produced by this circle of artists are renowned for the decoration of their borders, which typically feature a rich variety of realistically-painted flowers, birds, and butterflies. This prayer book, called a book of hours, was intended not for a cleric, but for the private devotions of a lay person-in this case, Isabella the Catholic, Queen of Spain (1451-1504). Isabella's coat of arms embellishes the book's frontispiece. It is unlikely that the book was commissioned by the Queen herself; rather, she probably received it as a diplomatic gift from someone courting her patronage, perhaps Cardinal Francisco Jimenez de Cisneros. A Franciscan friar, Jimenez was dependent upon Isabella for his advancement, first to the post of Queen's confessor in 1492, and then to Archbishop of Toledo in 1495."
"Hours of Queen Isabella the Catholic, Queen of Spain:  Fol. 75v",16th Century,Belgium,Books,"This manuscript was illuminated by a circle of at least five highly organized manuscript painters active in the Flemish cities of Ghent and Bruges. The principal illuminator was Alexander Bening, who painted the majority of the book's miniatures. Manuscripts produced by this circle of artists are renowned for the decoration of their borders, which typically feature a rich variety of realistically-painted flowers, birds, and butterflies. This prayer book, called a book of hours, was intended not for a cleric, but for the private devotions of a lay person-in this case, Isabella the Catholic, Queen of Spain (1451-1504). Isabella's coat of arms embellishes the book's frontispiece. It is unlikely that the book was commissioned by the Queen herself; rather, she probably received it as a diplomatic gift from someone courting her patronage, perhaps Cardinal Francisco Jimenez de Cisneros. A Franciscan friar, Jimenez was dependent upon Isabella for his advancement, first to the post of Queen's confessor in 1492, and then to Archbishop of Toledo in 1495."
"Hours of Queen Isabella the Catholic, Queen of Spain:  Fol. 77v",16th Century,Belgium,Books,"This manuscript was illuminated by a circle of at least five highly organized manuscript painters active in the Flemish cities of Ghent and Bruges. The principal illuminator was Alexander Bening, who painted the majority of the book's miniatures. Manuscripts produced by this circle of artists are renowned for the decoration of their borders, which typically feature a rich variety of realistically-painted flowers, birds, and butterflies. This prayer book, called a book of hours, was intended not for a cleric, but for the private devotions of a lay person-in this case, Isabella the Catholic, Queen of Spain (1451-1504). Isabella's coat of arms embellishes the book's frontispiece. It is unlikely that the book was commissioned by the Queen herself; rather, she probably received it as a diplomatic gift from someone courting her patronage, perhaps Cardinal Francisco Jimenez de Cisneros. A Franciscan friar, Jimenez was dependent upon Isabella for his advancement, first to the post of Queen's confessor in 1492, and then to Archbishop of Toledo in 1495."
"Hours of Queen Isabella the Catholic, Queen of Spain:  Fol. 78r",16th Century,Belgium,Books,"This manuscript was illuminated by a circle of at least five highly organized manuscript painters active in the Flemish cities of Ghent and Bruges. The principal illuminator was Alexander Bening, who painted the majority of the book's miniatures. Manuscripts produced by this circle of artists are renowned for the decoration of their borders, which typically feature a rich variety of realistically-painted flowers, birds, and butterflies.
This prayer book, called a book of hours, was intended not for a cleric, but for the private devotions of a lay person-in this case, Isabella the Catholic, Queen of Spain (1451-1504). Isabella's coat of arms embellishes the book's frontispiece. It is unlikely that the book was commissioned by the Queen herself; rather, she probably received it as a diplomatic gift from someone courting her patronage, perhaps Cardinal Francisco Jimenez de Cisneros. A Franciscan friar, Jimenez was dependent upon Isabella for his advancement, first to the post of Queen's confessor in 1492, and then to Archbishop of Toledo in 1495."
"Hours of Queen Isabella the Catholic, Queen of Spain:  Fol. 83v",16th Century,Belgium,Books,"This manuscript was illuminated by a circle of at least five highly organized manuscript painters active in the Flemish cities of Ghent and Bruges. The principal illuminator was Alexander Bening, who painted the majority of the book's miniatures. Manuscripts produced by this circle of artists are renowned for the decoration of their borders, which typically feature a rich variety of realistically-painted flowers, birds, and butterflies. This prayer book, called a book of hours, was intended not for a cleric, but for the private devotions of a lay person-in this case, Isabella the Catholic, Queen of Spain (1451-1504). Isabella's coat of arms embellishes the book's frontispiece. It is unlikely that the book was commissioned by the Queen herself; rather, she probably received it as a diplomatic gift from someone courting her patronage, perhaps Cardinal Francisco Jimenez de Cisneros. A Franciscan friar, Jimenez was dependent upon Isabella for his advancement, first to the post of Queen's confessor in 1492, and then to Archbishop of Toledo in 1495."
"Hours of Queen Isabella the Catholic, Queen of Spain:  Fol. 87r",16th Century,Belgium,Books,"This manuscript was illuminated by a circle of at least five highly organized manuscript painters active in the Flemish cities of Ghent and Bruges. The principal illuminator was Alexander Bening, who painted the majority of the book's miniatures. Manuscripts produced by this circle of artists are renowned for the decoration of their borders, which typically feature a rich variety of realistically-painted flowers, birds, and butterflies. This prayer book, called a book of hours, was intended not for a cleric, but for the private devotions of a lay person-in this case, Isabella the Catholic, Queen of Spain (1451-1504). Isabella's coat of arms embellishes the book's frontispiece. It is unlikely that the book was commissioned by the Queen herself; rather, she probably received it as a diplomatic gift from someone courting her patronage, perhaps Cardinal Francisco Jimenez de Cisneros. A Franciscan friar, Jimenez was dependent upon Isabella for his advancement, first to the post of Queen's confessor in 1492, and then to Archbishop of Toledo in 1495."
"Hours of Queen Isabella the Catholic, Queen of Spain:  Fol. 93r",16th Century,Belgium,Books,"This manuscript was illuminated by a circle of at least five highly organized manuscript painters active in the Flemish cities of Ghent and Bruges. The principal illuminator was Alexander Bening, who painted the majority of the book's miniatures. Manuscripts produced by this circle of artists are renowned for the decoration of their borders, which typically feature a rich variety of realistically-painted flowers, birds, and butterflies. This prayer book, called a book of hours, was intended not for a cleric, but for the private devotions of a lay person-in this case, Isabella the Catholic, Queen of Spain (1451-1504). Isabella's coat of arms embellishes the book's frontispiece. It is unlikely that the book was commissioned by the Queen herself; rather, she probably received it as a diplomatic gift from someone courting her patronage, perhaps Cardinal Francisco Jimenez de Cisneros. A Franciscan friar, Jimenez was dependent upon Isabella for his advancement, first to the post of Queen's confessor in 1492, and then to Archbishop of Toledo in 1495."
"Hours of Queen Isabella the Catholic, Queen of Spain:  Fol. 97r",16th Century,Belgium,Books,"This manuscript was illuminated by a circle of at least five highly organized manuscript painters active in the Flemish cities of Ghent and Bruges. The principal illuminator was Alexander Bening, who painted the majority of the book's miniatures. Manuscripts produced by this circle of artists are renowned for the decoration of their borders, which typically feature a rich variety of realistically-painted flowers, birds, and butterflies. This prayer book, called a book of hours, was intended not for a cleric, but for the private devotions of a lay person-in this case, Isabella the Catholic, Queen of Spain (1451-1504). Isabella's coat of arms embellishes the book's frontispiece. It is unlikely that the book was commissioned by the Queen herself; rather, she probably received it as a diplomatic gift from someone courting her patronage, perhaps Cardinal Francisco Jimenez de Cisneros. A Franciscan friar, Jimenez was dependent upon Isabella for his advancement, first to the post of Queen's confessor in 1492, and then to Archbishop of Toledo in 1495."
Frédéric Mistral: Mémoires et Recits by Frédéric Mistral: woman outside with a basket of flowers (insert after p. 192),20th Century,France,Portfolio,
"Hours of Queen Isabella the Catholic, Queen of Spain:  Fol. 101v",16th Century,Belgium,Books,"This manuscript was illuminated by a circle of at least five highly organized manuscript painters active in the Flemish cities of Ghent and Bruges. The principal illuminator was Alexander Bening, who painted the majority of the book's miniatures. Manuscripts produced by this circle of artists are renowned for the decoration of their borders, which typically feature a rich variety of realistically-painted flowers, birds, and butterflies. This prayer book, called a book of hours, was intended not for a cleric, but for the private devotions of a lay person-in this case, Isabella the Catholic, Queen of Spain (1451-1504). Isabella's coat of arms embellishes the book's frontispiece. It is unlikely that the book was commissioned by the Queen herself; rather, she probably received it as a diplomatic gift from someone courting her patronage, perhaps Cardinal Francisco Jimenez de Cisneros. A Franciscan friar, Jimenez was dependent upon Isabella for his advancement, first to the post of Queen's confessor in 1492, and then to Archbishop of Toledo in 1495."
"Hours of Queen Isabella the Catholic, Queen of Spain:  Fol. 102r",16th Century,Belgium,Books,"This manuscript was illuminated by a circle of at least five highly organized manuscript painters active in the Flemish cities of Ghent and Bruges. The principal illuminator was Alexander Bening, who painted the majority of the book's miniatures. Manuscripts produced by this circle of artists are renowned for the decoration of their borders, which typically feature a rich variety of realistically-painted flowers, birds, and butterflies. This prayer book, called a book of hours, was intended not for a cleric, but for the private devotions of a lay person-in this case, Isabella the Catholic, Queen of Spain (1451-1504). Isabella's coat of arms embellishes the book's frontispiece. It is unlikely that the book was commissioned by the Queen herself; rather, she probably received it as a diplomatic gift from someone courting her patronage, perhaps Cardinal Francisco Jimenez de Cisneros. A Franciscan friar, Jimenez was dependent upon Isabella for his advancement, first to the post of Queen's confessor in 1492, and then to Archbishop of Toledo in 1495."
"Hours of Queen Isabella the Catholic, Queen of Spain:  Fol. 119r",16th Century,Belgium,Books,"This manuscript was illuminated by a circle of at least five highly organized manuscript painters active in the Flemish cities of Ghent and Bruges. The principal illuminator was Alexander Bening, who painted the majority of the book's miniatures. Manuscripts produced by this circle of artists are renowned for the decoration of their borders, which typically feature a rich variety of realistically-painted flowers, birds, and butterflies. This prayer book, called a book of hours, was intended not for a cleric, but for the private devotions of a lay person-in this case, Isabella the Catholic, Queen of Spain (1451-1504). Isabella's coat of arms embellishes the book's frontispiece. It is unlikely that the book was commissioned by the Queen herself; rather, she probably received it as a diplomatic gift from someone courting her patronage, perhaps Cardinal Francisco Jimenez de Cisneros. A Franciscan friar, Jimenez was dependent upon Isabella for his advancement, first to the post of Queen's confessor in 1492, and then to Archbishop of Toledo in 1495."
"Hours of Queen Isabella the Catholic, Queen of Spain:  Fol. 12v, November",16th Century,Belgium,Books,"This manuscript was illuminated by a circle of at least five highly organized manuscript painters active in the Flemish cities of Ghent and Bruges. The principal illuminator was Alexander Bening, who painted the majority of the book's miniatures. Manuscripts produced by this circle of artists are renowned for the decoration of their borders, which typically feature a rich variety of realistically-painted flowers, birds, and butterflies. This prayer book, called a book of hours, was intended not for a cleric, but for the private devotions of a lay person-in this case, Isabella the Catholic, Queen of Spain (1451-1504). Isabella's coat of arms embellishes the book's frontispiece. It is unlikely that the book was commissioned by the Queen herself; rather, she probably received it as a diplomatic gift from someone courting her patronage, perhaps Cardinal Francisco Jimenez de Cisneros. A Franciscan friar, Jimenez was dependent upon Isabella for his advancement, first to the post of Queen's confessor in 1492, and then to Archbishop of Toledo in 1495."
"Hours of Queen Isabella the Catholic, Queen of Spain:  Fol. 122r",16th Century,Belgium,Books,"This manuscript was illuminated by a circle of at least five highly organized manuscript painters active in the Flemish cities of Ghent and Bruges. The principal illuminator was Alexander Bening, who painted the majority of the book's miniatures. Manuscripts produced by this circle of artists are renowned for the decoration of their borders, which typically feature a rich variety of realistically-painted flowers, birds, and butterflies. This prayer book, called a book of hours, was intended not for a cleric, but for the private devotions of a lay person-in this case, Isabella the Catholic, Queen of Spain (1451-1504). Isabella's coat of arms embellishes the book's frontispiece. It is unlikely that the book was commissioned by the Queen herself; rather, she probably received it as a diplomatic gift from someone courting her patronage, perhaps Cardinal Francisco Jimenez de Cisneros. A Franciscan friar, Jimenez was dependent upon Isabella for his advancement, first to the post of Queen's confessor in 1492, and then to Archbishop of Toledo in 1495."
"Hours of Queen Isabella the Catholic, Queen of Spain:  Fol. 124r",16th Century,Belgium,Books,"This manuscript was illuminated by a circle of at least five highly organized manuscript painters active in the Flemish cities of Ghent and Bruges. The principal illuminator was Alexander Bening, who painted the majority of the book's miniatures. Manuscripts produced by this circle of artists are renowned for the decoration of their borders, which typically feature a rich variety of realistically-painted flowers, birds, and butterflies. This prayer book, called a book of hours, was intended not for a cleric, but for the private devotions of a lay person-in this case, Isabella the Catholic, Queen of Spain (1451-1504). Isabella's coat of arms embellishes the book's frontispiece. It is unlikely that the book was commissioned by the Queen herself; rather, she probably received it as a diplomatic gift from someone courting her patronage, perhaps Cardinal Francisco Jimenez de Cisneros. A Franciscan friar, Jimenez was dependent upon Isabella for his advancement, first to the post of Queen's confessor in 1492, and then to Archbishop of Toledo in 1495."
"Hours of Queen Isabella the Catholic, Queen of Spain:  Fol. 126v, Nativity",16th Century,Belgium,Books,"This manuscript was illuminated by a circle of at least five highly organized manuscript painters active in the Flemish cities of Ghent and Bruges. The principal illuminator was Alexander Bening, who painted the majority of the book's miniatures. Manuscripts produced by this circle of artists are renowned for the decoration of their borders, which typically feature a rich variety of realistically-painted flowers, birds, and butterflies. This prayer book, called a book of hours, was intended not for a cleric, but for the private devotions of a lay person-in this case, Isabella the Catholic, Queen of Spain (1451-1504). Isabella's coat of arms embellishes the book's frontispiece. It is unlikely that the book was commissioned by the Queen herself; rather, she probably received it as a diplomatic gift from someone courting her patronage, perhaps Cardinal Francisco Jimenez de Cisneros. A Franciscan friar, Jimenez was dependent upon Isabella for his advancement, first to the post of Queen's confessor in 1492, and then to Archbishop of Toledo in 1495."
"Hours of Queen Isabella the Catholic, Queen of Spain:  Fol. 130r",16th Century,Belgium,Books,"This manuscript was illuminated by a circle of at least five highly organized manuscript painters active in the Flemish cities of Ghent and Bruges. The principal illuminator was Alexander Bening, who painted the majority of the book's miniatures. Manuscripts produced by this circle of artists are renowned for the decoration of their borders, which typically feature a rich variety of realistically-painted flowers, birds, and butterflies. This prayer book, called a book of hours, was intended not for a cleric, but for the private devotions of a lay person-in this case, Isabella the Catholic, Queen of Spain (1451-1504). Isabella's coat of arms embellishes the book's frontispiece. It is unlikely that the book was commissioned by the Queen herself; rather, she probably received it as a diplomatic gift from someone courting her patronage, perhaps Cardinal Francisco Jimenez de Cisneros. A Franciscan friar, Jimenez was dependent upon Isabella for his advancement, first to the post of Queen's confessor in 1492, and then to Archbishop of Toledo in 1495."
"Hours of Queen Isabella the Catholic, Queen of Spain:  Fol. 136v, Adoration of the Magi",16th Century,Belgium,Books,"This manuscript was illuminated by a circle of at least five highly organized manuscript painters active in the Flemish cities of Ghent and Bruges. The principal illuminator was Alexander Bening, who painted the majority of the book's miniatures. Manuscripts produced by this circle of artists are renowned for the decoration of their borders, which typically feature a rich variety of realistically-painted flowers, birds, and butterflies.
This prayer book, called a book of hours, was intended not for a cleric, but for the private devotions of a lay person-in this case, Isabella the Catholic, Queen of Spain (1451-1504). Isabella's coat of arms embellishes the book's frontispiece. It is unlikely that the book was commissioned by the Queen herself; rather, she probably received it as a diplomatic gift from someone courting her patronage, perhaps Cardinal Francisco Jimenez de Cisneros. A Franciscan friar, Jimenez was dependent upon Isabella for his advancement, first to the post of Queen's confessor in 1492, and then to Archbishop of Toledo in 1495."
"Hours of Queen Isabella the Catholic, Queen of Spain:  Fol. 148r",16th Century,Belgium,Books,"This manuscript was illuminated by a circle of at least five highly organized manuscript painters active in the Flemish cities of Ghent and Bruges. The principal illuminator was Alexander Bening, who painted the majority of the book's miniatures. Manuscripts produced by this circle of artists are renowned for the decoration of their borders, which typically feature a rich variety of realistically-painted flowers, birds, and butterflies.
This prayer book, called a book of hours, was intended not for a cleric, but for the private devotions of a lay person-in this case, Isabella the Catholic, Queen of Spain (1451-1504). Isabella's coat of arms embellishes the book's frontispiece. It is unlikely that the book was commissioned by the Queen herself; rather, she probably received it as a diplomatic gift from someone courting her patronage, perhaps Cardinal Francisco Jimenez de Cisneros. A Franciscan friar, Jimenez was dependent upon Isabella for his advancement, first to the post of Queen's confessor in 1492, and then to Archbishop of Toledo in 1495."
"Hours of Queen Isabella the Catholic, Queen of Spain:  Fol. 150v",16th Century,Belgium,Books,"This manuscript was illuminated by a circle of at least five highly organized manuscript painters active in the Flemish cities of Ghent and Bruges. The principal illuminator was Alexander Bening, who painted the majority of the book's miniatures. Manuscripts produced by this circle of artists are renowned for the decoration of their borders, which typically feature a rich variety of realistically-painted flowers, birds, and butterflies.
This prayer book, called a book of hours, was intended not for a cleric, but for the private devotions of a lay person-in this case, Isabella the Catholic, Queen of Spain (1451-1504). Isabella's coat of arms embellishes the book's frontispiece. It is unlikely that the book was commissioned by the Queen herself; rather, she probably received it as a diplomatic gift from someone courting her patronage, perhaps Cardinal Francisco Jimenez de Cisneros. A Franciscan friar, Jimenez was dependent upon Isabella for his advancement, first to the post of Queen's confessor in 1492, and then to Archbishop of Toledo in 1495."
"Hours of Queen Isabella the Catholic, Queen of Spain:  Fol. 151r",16th Century,Belgium,Books,"This manuscript was illuminated by a circle of at least five highly organized manuscript painters active in the Flemish cities of Ghent and Bruges. The principal illuminator was Alexander Bening, who painted the majority of the book's miniatures. Manuscripts produced by this circle of artists are renowned for the decoration of their borders, which typically feature a rich variety of realistically-painted flowers, birds, and butterflies. This prayer book, called a book of hours, was intended not for a cleric, but for the private devotions of a lay person-in this case, Isabella the Catholic, Queen of Spain (1451-1504). Isabella's coat of arms embellishes the book's frontispiece. It is unlikely that the book was commissioned by the Queen herself; rather, she probably received it as a diplomatic gift from someone courting her patronage, perhaps Cardinal Francisco Jimenez de Cisneros. A Franciscan friar, Jimenez was dependent upon Isabella for his advancement, first to the post of Queen's confessor in 1492, and then to Archbishop of Toledo in 1495."
